"","1","2","3","4","5","6","7","8","9","10","11","12"
"gene","A-SMA","A-SMA","A-SMA","A-SMA","A-SMA","A-SMA","A-SMA","A-SMA","A-SMA","A-SMA","A-SMA","A-SMA"
"sample","CON","CON","CON","CON","OE","OE","OE","OE","SH","SH","SH","SH"
"Gene Expression","1.0157181","0.9609278","1.0017344","1.0227829","0.4854855","0.4888623","0.4888623","0.4854855","0.4477711","0.4508856","0.4540218","0.4603597"
"gene","COL1A1","COL1A1","COL1A1","COL1A1","COL1A1","COL1A1","COL1A1","COL1A1","COL1A1","COL1A1","COL1A1","COL1A1"
"sample","CON","CON","CON","CON","OE","OE","OE","OE","SH","SH","SH","SH"
"Gene Expression","1.0157181","1.0017344","0.9609278","1.0227829","0.7513203","0.7941591","0.7778156","0.8278837","1.0430681","1.0576288","1.0798518","1.0576288"
"gene","COL3A1","COL3A1","COL3A1","COL3A1","COL3A1","COL3A1","COL3A1","COL3A1","COL3A1","COL3A1","COL3A1","COL3A1"
"sample","CON","CON","CON","CON","OE","OE","OE","OE","SH","SH","SH","SH"
"Gene Expression","1.0352649","0.9460576","0.9862327","1.0352649","0.5122784","0.5567108","0.5194296","0.5605830","0.7569833","0.8695454","0.8283620","0.8878164"
"gene","CTGF","CTGF","CTGF","CTGF","CTGF","CTGF","CTGF","CTGF","CTGF","CTGF","CTGF","CTGF"
"sample","CON","CON","CON","CON","OE","OE","OE","OE","SH","SH","SH","SH"
"Gene Expression","0.9965403","1.0316832","1.0388591","0.9362722","5.1337036","4.8567795","4.7568285","4.8567795","1.8833920","1.9770280","2.0609840","1.9907794"
"gene","ECAD","ECAD","ECAD","ECAD","ECAD","ECAD","ECAD","ECAD","ECAD","ECAD","ECAD","ECAD"
"sample","CON","CON","CON","CON","OE","OE","OE","OE","SH","SH","SH","SH"
"Gene Expression","1.1506906","1.4666250","0.6937559","0.8541137","1.5236167","1.0999973","1.4717167","1.4819533","3.7602624","2.4808480","3.7864171","2.9914259"
"gene","FN1","FN1","FN1","FN1","FN1","FN1","FN1","FN1","FN1","FN1","FN1","FN1"
"sample","CON","CON","CON","CON","OE","OE","OE","OE","SH","SH","SH","SH"
"Gene Expression","0.9625944","1.0680654","0.9760318","0.9965403","0.8408964","0.8467453","0.7900413","0.8122524","0.6751750","0.6941567","0.7186361","0.7236346"
"gene","NCAD","NCAD","NCAD","NCAD","NCAD","NCAD","NCAD","NCAD","NCAD","NCAD","NCAD","NCAD"
"sample","CON","CON","CON","CON","OE","OE","OE","OE","SH","SH","SH","SH"
"Gene Expression","1.0460849","1.0034717","0.9828206","0.9692898","1.5368752","1.4539725","1.4948492","1.5475650","1.8833920","1.7941908","1.7817974","1.9770280"
