"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"37","timp3","con",31.27,0.390000000000001,-0.328749999999999,0.71875,0.607623679990235
"38","timp3","con",32.09,1.21,-0.328749999999999,1.53875,0.344183537692533
"39","timp3","con",31.75,0.870000000000001,-0.328749999999999,1.19875,0.435652582370343
"40","timp3","con",31.91,1.03,-0.328749999999999,1.35875,0.389919983435971
"41","timp3","INF",29.02,-2.475,-0.328749999999999,-2.14625,4.42675644434603
"42","timp3","INF",29.1,-2.395,-0.328749999999999,-2.06625,4.18796678436536
"43","timp3","INF",29.83,-1.665,-0.328749999999999,-1.33625,2.52494156534833
"44","timp3","INF",29.66,-1.835,-0.328749999999999,-1.50625,2.84070693143858
"45","timp3","D1",30,-1.6175,-0.328749999999999,-1.28875,2.44316279881144
"46","timp3","D1",30.56,-1.0575,-0.328749999999999,-0.728750000000002,1.65720261276339
"47","timp3","D1",31.23,-0.387499999999999,-0.328749999999999,-0.0587500000000003,1.04156292426805
"48","timp3","D1",30.8,-0.817499999999999,-0.328749999999999,-0.48875,1.40322854399233
"49","timp3","con",29.61,-1.27,-0.328749999999999,-0.941250000000001,1.92019123703495
"50","timp3","con",29.72,-1.16,-0.328749999999999,-0.831250000000001,1.77922627678309
"51","timp3","con",29.06,-1.82,-0.328749999999999,-1.49125,2.81132452362301
"52","timp3","con",29,-1.88,-0.328749999999999,-1.55125,2.93070955848996
"53","timp3","INF",29.14,-2.355,-0.328749999999999,-2.02625,4.07344661241129
"54","timp3","INF",29.26,-2.235,-0.328749999999999,-1.90625,3.7483352682206
"55","timp3","INF",28.91,-2.585,-0.328749999999999,-2.25625,4.77748055086617
"56","timp3","INF",29.57,-1.925,-0.328749999999999,-1.59625,3.02356375491181
"57","timp3","D1",29.85,-1.7675,-0.328749999999999,-1.43875,2.71085885685301
"58","timp3","D1",29.84,-1.7775,-0.328749999999999,-1.44875,2.72971437132855
"59","timp3","D1",29.9,-1.7175,-0.328749999999999,-1.38875,2.618517052422
"60","timp3","D1",29.63,-1.9875,-0.328749999999999,-1.65875,3.15742835875219
