"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"73","vim","con",23.05,-7.83,-8.395,0.565000000000001,0.675955416514062
"74","vim","con",23.15,-7.73,-8.395,0.664999999999999,0.630688704415625
"75","vim","con",21.85,-9.03,-8.395,-0.634999999999998,1.55293775000208
"76","vim","con",21.89,-8.99,-8.395,-0.594999999999999,1.51047258556282
"77","vim","INF",22.05,-9.445,-8.395,-1.05,2.07052984768276
"78","vim","INF",22.13,-9.365,-8.395,-0.970000000000002,1.95884059517386
"79","vim","INF",22.2,-9.295,-8.395,-0.900000000000002,1.86606598307362
"80","vim","INF",22.16,-9.335,-8.395,-0.940000000000001,1.91852823865053
"81","vim","D1",21.54,-10.0775,-8.395,-1.6825,3.2098369173649
"82","vim","D1",21.72,-9.8975,-8.395,-1.5025,2.83333266456236
"83","vim","D1",23.64,-7.9775,-8.395,0.4175,0.748720935338564
"84","vim","D1",21.87,-9.7475,-8.395,-1.3525,2.5535423746672
