File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
lzy-swb_03.lc96p	Rel Quant		A1	con	gap		30.77	30.88	0.257552583627757	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A1							SYBR Green I	Unchecked	None	1.6792	4.73814032299119			1
lzy-swb_03.lc96p	Rel Quant		A2	con	gap		30.66	30.88	0.257552583627757	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A1							SYBR Green I	Unchecked	None	1.7113	4.74721544946963			2
lzy-swb_03.lc96p	Rel Quant		A3	con	gap		30.84	30.88	0.257552583627757	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A1							SYBR Green I	Unchecked	None	1.7046	4.74896421485049			3
lzy-swb_03.lc96p	Rel Quant		A4	con	gap		31.25	30.88	0.257552583627757	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A1							SYBR Green I	Unchecked	None	1.7152	4.70304230616621			4
lzy-swb_03.lc96p	Rel Quant		A5	INF	gap		31.14	31.495	0.921791733527699	Unchecked	Unknown	Unknown	Reference	Unknown	A5							SYBR Green I	Unchecked	None	1.7014	4.6989235028661			5
lzy-swb_03.lc96p	Rel Quant		A6	INF	gap		32.56	31.495	0.921791733527699	Unchecked	Unknown	Unknown	Reference	Unknown	A5							SYBR Green I	Unchecked	None	1.3186	3.6016414328616			6
lzy-swb_03.lc96p	Rel Quant		A7	INF	gap		30.42	31.495	0.921791733527699	Unchecked	Unknown	Unknown	Reference	Unknown	A5							SYBR Green I	Unchecked	None	1.4946	4.37704459700463			7
lzy-swb_03.lc96p	Rel Quant		A8	INF	gap		31.86	31.495	0.921791733527699	Unchecked	Unknown	Unknown	Reference	Unknown	A5							SYBR Green I	Unchecked	None	1.5853	4.37816415045223			8
lzy-swb_03.lc96p	Rel Quant		A9	D1	gap		32.71	31.6175	0.903599284343822	Unchecked	Unknown	Unknown	Reference	Unknown	A9							SYBR Green I	Unchecked	None	1.4808	3.95031334419093			9
lzy-swb_03.lc96p	Rel Quant		A10	D1	gap		30.65	31.6175	0.903599284343822	Unchecked	Unknown	Unknown	Reference	Unknown	A9							SYBR Green I	Unchecked	None	1.5296	4.44953749102586			10
lzy-swb_03.lc96p	Rel Quant		A11	D1	gap		31.95	31.6175	0.903599284343822	Unchecked	Unknown	Unknown	Reference	Unknown	A9							SYBR Green I	Unchecked	None	1.4938	4.22226907909401			11
lzy-swb_03.lc96p	Rel Quant		A12	D1	gap		31.16	31.6175	0.903599284343822	Unchecked	Unknown	Unknown	Reference	Unknown	A9							SYBR Green I	Unchecked	None	1.5379	4.47887605415611			12
lzy-swb_03.lc96p	Rel Quant		B1	con	twist		29.61	30.775	0.874928568512881	Unchecked	Unknown	Run Calibrator	Target	Unknown	B1	2.41161565538152	0.430526081505025	2.24233215605702	1.4730038182446			SYBR Green I	Unchecked	None	1.4918	4.6562740125375			13
lzy-swb_03.lc96p	Rel Quant		B2	con	twist		30.64	30.775	0.874928568512881	Unchecked	Unknown	Run Calibrator	Target	Unknown	B1	1.18099266142953	0.210832991433292	1.09809281378705	0.721344919005901			SYBR Green I	Unchecked	None	1.2507	4.12132449275081			14
lzy-swb_03.lc96p	Rel Quant		B3	con	twist		31.62	30.775	0.874928568512881	Unchecked	Unknown	Run Calibrator	Target	Unknown	B1	0.598739352309463	0.106888055158138	0.556710809114344	0.365707259412202			SYBR Green I	Unchecked	None	1.2562	3.97542722154969			15
lzy-swb_03.lc96p	Rel Quant		B4	con	twist		31.23	30.775	0.874928568512881	Unchecked	Unknown	Run Calibrator	Target	Unknown	B1	0.78458409789675	0.140065402430473	0.729510172120089	0.479220380476869			SYBR Green I	Unchecked	None	1.462	4.37787269818192			16
lzy-swb_03.lc96p	Rel Quant		B5	INF	twist		31.8	31.325	0.625806146768577	Unchecked	Unknown	Unknown	Target	Unknown	B5	0.809442216547409	0.517182857661992	0.752623373705535	0.67648146722924			SYBR Green I	Unchecked	None	1.4731	4.24446343331969			17
lzy-swb_03.lc96p	Rel Quant		B6	INF	twist		30.79	31.325	0.625806146768577	Unchecked	Unknown	Unknown	Target	Unknown	B5	1.63014466480525	1.04156029783387	1.5157165665104	1.36237353587399			SYBR Green I	Unchecked	None	1.3603	4.30015560235319			18
lzy-swb_03.lc96p	Rel Quant		B7	INF	twist		31.93	31.325	0.625806146768577	Unchecked	Unknown	Unknown	Target	Unknown	B5	0.739693754624419	0.472617960851044	0.687770909069874	0.618190040251409			SYBR Green I	Unchecked	None	1.3952	4.13168052421703			19
lzy-swb_03.lc96p	Rel Quant		B8	INF	twist		30.78	31.325	0.625806146768577	Unchecked	Unknown	Unknown	Target	Unknown	B5	1.641483217621	1.04880492262255	1.52625920896056	1.37184959319871			SYBR Green I	Unchecked	None	1.4202	4.39881702000353			20
lzy-swb_03.lc96p	Rel Quant		B9	D1	twist		30.11	30.1575	0.137931142241337	Unchecked	Unknown	Unknown	Target	Unknown	B9	2.84316928301748	1.78075452995243	2.64359285203558	2.35256403137471			SYBR Green I	Unchecked	None	1.4254	4.44548438753525			21
lzy-swb_03.lc96p	Rel Quant		B10	D1	twist		30.05	30.1575	0.137931142241337	Unchecked	Unknown	Unknown	Target	Unknown	B9	2.96390662982092	1.85637562593813	2.75585503385141	2.45246745289449			SYBR Green I	Unchecked	None	1.2936	4.18158259950627			22
lzy-swb_03.lc96p	Rel Quant		B11	D1	twist		30.11	30.1575	0.137931142241337	Unchecked	Unknown	Unknown	Target	Unknown	B9	2.84316928301748	1.78075452995243	2.64359285203558	2.35256403137471			SYBR Green I	Unchecked	None	1.2758	4.22487457908028			23
lzy-swb_03.lc96p	Rel Quant		B12	D1	twist		30.36	30.1575	0.137931142241337	Unchecked	Unknown	Unknown	Target	Unknown	B9	2.39081085804887	1.49743010068381	2.22298775266706	1.97826266063782			SYBR Green I	Unchecked	None	1.3873	4.35659888593814			24
lzy-swb_03.lc96p	Rel Quant		C1	con	vim		23.05	22.485	0.711500761302005	Unchecked	Unknown	Run Calibrator	Target	Unknown	C1	227.543726378642	40.6215263490443	0.675955416514064	0.374507015476805			SYBR Green I	Unchecked	None	1.912	5.40844150793428			25
lzy-swb_03.lc96p	Rel Quant		C2	con	vim		23.15	22.485	0.711500761302005	Unchecked	Unknown	Run Calibrator	Target	Unknown	C1	212.305803728497	37.9012242502401	0.630688704415627	0.349427401001846			SYBR Green I	Unchecked	None	1.6891	5.110890546542			26
lzy-swb_03.lc96p	Rel Quant		C3	con	vim		21.85	22.485	0.711500761302005	Unchecked	Unknown	Run Calibrator	Target	Unknown	C1	522.758208362082	93.3237609892317	1.55293775000208	0.860391185226111			SYBR Green I	Unchecked	None	1.5592	4.97782703448969			27
lzy-swb_03.lc96p	Rel Quant		C4	con	vim		21.89	22.485	0.711500761302005	Unchecked	Unknown	Run Calibrator	Target	Unknown	C1	508.463357663762	90.7718178372979	1.51047258556283	0.836863743020097			SYBR Green I	Unchecked	None	1.6909	5.21391804925604			28
lzy-swb_03.lc96p	Rel Quant		C5	INF	vim		22.05	22.135	0.0635085296108589	Unchecked	Unknown	Unknown	Target	Unknown	C5	696.99282764773	445.334744103569	2.07052984768276	1.71158106124444			SYBR Green I	Unchecked	None	1.8158	5.28567290083856			29
lzy-swb_03.lc96p	Rel Quant		C6	INF	vim		22.13	22.135	0.0635085296108589	Unchecked	Unknown	Unknown	Target	Unknown	C5	659.395394309032	421.312340011768	1.95884059517386	1.61925435098101			SYBR Green I	Unchecked	None	1.6704	5.09788123754485			30
lzy-swb_03.lc96p	Rel Quant		C7	INF	vim		22.2	22.135	0.0635085296108589	Unchecked	Unknown	Unknown	Target	Unknown	C5	628.165108353948	401.358144140017	1.86606598307362	1.54256322324249			SYBR Green I	Unchecked	None	1.6226	5.03404020899114			31
lzy-swb_03.lc96p	Rel Quant		C8	INF	vim		22.16	22.135	0.0635085296108589	Unchecked	Unknown	Unknown	Target	Unknown	C5	645.8252333216	412.64185743137	1.91852823865054	1.58593057830675			SYBR Green I	Unchecked	None	1.7522	5.23537836780084			32
lzy-swb_03.lc96p	Rel Quant		C9	D1	vim		21.54	22.1925	0.974384421057726	Unchecked	Unknown	Unknown	Target	Unknown	C9	1080.51246487755	676.754450744023	3.20983691736491	2.62221725516226			SYBR Green I	Unchecked	None	1.8023	5.27095889390907			33
lzy-swb_03.lc96p	Rel Quant		C10	D1	vim		21.72	22.1925	0.974384421057726	Unchecked	Unknown	Unknown	Target	Unknown	C9	953.771590276817	597.373181424785	2.83333266456237	2.31463902805678			SYBR Green I	Unchecked	None	1.681	5.12374953808162			34
lzy-swb_03.lc96p	Rel Quant		C11	D1	vim		23.64	22.1925	0.974384421057726	Unchecked	Unknown	Unknown	Target	Unknown	C9	252.038444374378	157.858557428386	0.748720935338566	0.611653802510869			SYBR Green I	Unchecked	None	1.644	5.02271605074912			35
lzy-swb_03.lc96p	Rel Quant		C12	D1	vim		21.87	22.1925	0.974384421057726	Unchecked	Unknown	Unknown	Target	Unknown	C9	859.587086962047	538.382856110391	2.55354237466721	2.08606949481325			SYBR Green I	Unchecked	None	1.666	5.13355337511493			36
lzy-swb_03.lc96p	Rel Quant		D1	con	snail		26.26	25.6825	0.523282906275373	Unchecked	Unknown	Run Calibrator	Target	Unknown	D1	24.5900029006082	4.38985274016278	0.670124008256654	0.29614640289493			SYBR Green I	Unchecked	None	1.1807	4.50530866449454			37
lzy-swb_03.lc96p	Rel Quant		D2	con	snail		25.71	25.6825	0.523282906275373	Unchecked	Unknown	Run Calibrator	Target	Unknown	D1	36.0018715100419	6.42712060418003	0.981118974998316	0.433583712384217			SYBR Green I	Unchecked	None	1.1788	4.73612765911822			38
lzy-swb_03.lc96p	Rel Quant		D3	con	snail		24.99	25.6825	0.523282906275373	Unchecked	Unknown	Run Calibrator	Target	Unknown	D1	59.3016359609838	10.586637592996	1.61608154935877	0.714191301506338			SYBR Green I	Unchecked	None	1.0743	4.41750664879081			39
lzy-swb_03.lc96p	Rel Quant		D4	con	snail		25.77	25.6825	0.523282906275373	Unchecked	Unknown	Run Calibrator	Target	Unknown	D1	34.5353035681417	6.16530618616603	0.941152229505067	0.415921298014025			SYBR Green I	Unchecked	None	1.2543	4.58679919966252			40
lzy-swb_03.lc96p	Rel Quant		D5	INF	snail		28.64	28.06	1.32783031044382	Unchecked	Unknown	Unknown	Target	Unknown	D5	7.23503502048871	4.62273403917744	0.197168365022326	0.149076890154549			SYBR Green I	Unchecked	None	1.2291	4.3648689919939			41
lzy-swb_03.lc96p	Rel Quant		D6	INF	snail		27.81	28.06	1.32783031044382	Unchecked	Unknown	Unknown	Target	Unknown	D5	12.8616158518904	8.21776663540489	0.350503316415347	0.265011805489887			SYBR Green I	Unchecked	None	1.2027	4.45725020889025			42
lzy-swb_03.lc96p	Rel Quant		D7	INF	snail		26.34	28.06	1.32783031044382	Unchecked	Unknown	Unknown	Target	Unknown	D5	35.629491783318	22.7650127468507	0.970970924342351	0.734140721890426			SYBR Green I	Unchecked	None	1.1886	4.40488292867966			43
lzy-swb_03.lc96p	Rel Quant		D8	INF	snail		29.45	28.06	1.32783031044382	Unchecked	Unknown	Unknown	Target	Unknown	D5	4.12673271720544	2.63672363000175	0.112461258367285	0.085030753581406			SYBR Green I	Unchecked	None	1.1023	3.75031985911017			44
lzy-swb_03.lc96p	Rel Quant		D9	D1	snail		25.39	26.0325	0.510187873892222	Unchecked	Unknown	Unknown	Target	Unknown	D9	74.9314778260569	46.9316299144756	2.04202425141438	1.52225474923104			SYBR Green I	Unchecked	None	1.0874	4.24373922274481			45
lzy-swb_03.lc96p	Rel Quant		D10	D1	snail		26.31	26.0325	0.510187873892222	Unchecked	Unknown	Unknown	Target	Unknown	D9	39.6019619340336	24.8037897462754	1.07922823650443	0.804525366133727			SYBR Green I	Unchecked	None	1.1665	4.35562440276459			46
lzy-swb_03.lc96p	Rel Quant		D11	D1	snail		25.88	26.0325	0.510187873892222	Unchecked	Unknown	Unknown	Target	Unknown	D9	53.3530928272871	33.4164983796992	1.45397251732031	1.08388358669552			SYBR Green I	Unchecked	None	1.1152	4.33761625576497			47
