"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"1","slug","con",30.44,-0.439999999999998,-0.634999999999999,0.195000000000001,0.873572895916694
"2","slug","con",29.98,-0.899999999999999,-0.634999999999999,-0.265,1.20163604952685
"3","slug","con",30.57,-0.309999999999999,-0.634999999999999,0.325,0.79829838635665
"4","slug","con",29.99,-0.890000000000001,-0.634999999999999,-0.255000000000002,1.19333574303172
"5","slug","INF",27.68,-3.815,-0.634999999999999,-3.18,9.0630710823664
"6","slug","INF",28.91,-2.585,-0.634999999999999,-1.95,3.86374531569939
"7","slug","INF",27.78,-3.715,-0.634999999999999,-3.08,8.45614432449105
"8","slug","INF",28.94,-2.555,-0.634999999999999,-1.92,3.78423058690239
"9","slug","D1",29.62,-1.9975,-0.634999999999999,-1.3625,2.57130366647615
"10","slug","D1",28.95,-2.6675,-0.634999999999999,-2.0325,4.09113175498914
"11","slug","D1",28.99,-2.6275,-0.634999999999999,-1.9925,3.97925954200569
"12","slug","D1",29.32,-2.2975,-0.634999999999999,-1.6625,3.16564614399541
