"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"61","twist","con",29.61,-1.27,-0.104999999999999,-1.165,2.24233215605702
"62","twist","con",30.64,-0.239999999999998,-0.104999999999999,-0.135,1.09809281378705
"63","twist","con",31.62,0.740000000000002,-0.104999999999999,0.845000000000001,0.556710809114343
"64","twist","con",31.23,0.350000000000001,-0.104999999999999,0.455,0.729510172120088
"65","twist","INF",31.8,0.305,-0.104999999999999,0.409999999999998,0.752623373705534
"66","twist","INF",30.79,-0.705000000000002,-0.104999999999999,-0.600000000000003,1.5157165665104
"67","twist","INF",31.93,0.434999999999999,-0.104999999999999,0.539999999999997,0.687770909069873
"68","twist","INF",30.78,-0.715,-0.104999999999999,-0.610000000000001,1.52625920896056
"69","twist","D1",30.11,-1.5075,-0.104999999999999,-1.4025,2.64359285203557
"70","twist","D1",30.05,-1.5675,-0.104999999999999,-1.4625,2.75585503385141
"71","twist","D1",30.11,-1.5075,-0.104999999999999,-1.4025,2.64359285203557
"72","twist","D1",30.36,-1.2575,-0.104999999999999,-1.1525,2.22298775266706
