"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"49","Ecad","con",29.71,8.205,8.4075,-0.202500000000001,1.15069062323259
"50","Ecad","con",29.36,7.855,8.4075,-0.552500000000002,1.46662496259772
"51","Ecad","con",30.44,8.935,8.4075,0.5275,0.693755880372106
"52","Ecad","con",30.14,8.635,8.4075,0.227499999999999,0.854113676345303
"53","Ecad","oe",29.55,7.8,8.4075,-0.607499999999998,1.52361669351823
"54","Ecad","oe",30.02,8.27,8.4075,-0.137499999999999,1.09999731327822
"55","Ecad","oe",29.6,7.85,8.4075,-0.557499999999997,1.47171671562561
"56","Ecad","oe",29.59,7.84,8.4075,-0.567499999999999,1.48195331491046
"57","Ecad","sh",28.33,6.49666666666667,8.4075,-1.91083333333333,3.76026238239871
"58","Ecad","sh",28.93,7.09666666666667,8.4075,-1.31083333333333,2.48084798007841
"59","Ecad","sh",28.32,6.48666666666667,8.4075,-1.92083333333333,3.78641707562587
"60","Ecad","sh",28.66,6.82666666666667,8.4075,-1.58083333333333,2.99142591368936
