"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"61","FN1","con",13.22,-8.285,-8.34,0.0550000000000015,0.96259444310175
"62","FN1","con",13.07,-8.435,-8.34,-0.0949999999999989,1.06806540804785
"63","FN1","con",13.2,-8.305,-8.34,0.0350000000000001,0.976031760776225
"64","FN1","con",13.17,-8.335,-8.34,0.00500000000000078,0.996540262827867
"65","FN1","oe",13.66,-8.09,-8.34,0.250000000000004,0.840896415253713
"66","FN1","oe",13.65,-8.1,-8.34,0.240000000000004,0.846745312362525
"67","FN1","oe",13.75,-8,-8.34,0.340000000000003,0.790041311863375
"68","FN1","oe",13.71,-8.04,-8.34,0.300000000000004,0.812252396356233
"69","FN1","sh",14.06,-7.77333333333333,-8.34,0.566666666666672,0.675174973084093
"70","FN1","sh",14.02,-7.81333333333333,-8.34,0.526666666666671,0.694156725239894
"71","FN1","sh",13.97,-7.86333333333333,-8.34,0.476666666666672,0.718636109289458
"72","FN1","sh",13.96,-7.87333333333333,-8.34,0.466666666666672,0.723634618720186
