"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"73","Ncad","con",21.49,-0.0150000000000041,0.0499999999999972,-0.0650000000000013,1.04608493979253
"74","Ncad","con",21.55,0.0449999999999982,0.0499999999999972,-0.00499999999999901,1.0034717485095
"75","Ncad","con",21.58,0.0749999999999957,0.0499999999999972,0.0249999999999986,0.982820598545252
"76","Ncad","con",21.6,0.0949999999999989,0.0499999999999972,0.0450000000000017,0.969289816935064
"77","Ncad","oe",21.18,-0.57,0.0499999999999972,-0.619999999999997,1.53687518128801
"78","Ncad","oe",21.26,-0.489999999999998,0.0499999999999972,-0.539999999999996,1.45397251732031
"79","Ncad","oe",21.22,-0.530000000000001,0.0499999999999972,-0.579999999999998,1.49484924863494
"80","Ncad","oe",21.17,-0.579999999999998,0.0499999999999972,-0.629999999999995,1.54756499354238
"81","Ncad","sh",20.97,-0.863333333333333,0.0499999999999972,-0.91333333333333,1.88339203477469
"82","Ncad","sh",21.04,-0.793333333333333,0.0499999999999972,-0.84333333333333,1.79419081753966
"83","Ncad","sh",21.05,-0.783333333333331,0.0499999999999972,-0.833333333333329,1.78179743628067
"84","Ncad","sh",20.9,-0.933333333333334,0.0499999999999972,-0.983333333333331,1.97702804070579
