,gene,group,CT,deltaCT,mean_blank_deltaCT,delta_deltaCT,value
1,a-sma,con,16.84,-4.665,-4.6425,-0.0225,1.015718061
2,a-sma,con,16.92,-4.585,-4.6425,0.0575,0.960927838
3,a-sma,con,16.86,-4.645,-4.6425,-0.0025,1.00173437
4,a-sma,con,16.83,-4.675,-4.6425,-0.0325,1.022782939
5,a-sma,oe,18.15,-3.6,-4.6425,1.0425,0.485485462
6,a-sma,oe,18.14,-3.61,-4.6425,1.0325,0.488862281
7,a-sma,oe,18.14,-3.61,-4.6425,1.0325,0.488862281
8,a-sma,oe,18.15,-3.6,-4.6425,1.0425,0.485485462
9,a-sma,sh,18.35,-3.483333333,-4.6425,1.159166667,0.447771104
10,a-sma,sh,18.34,-3.493333333,-4.6425,1.149166667,0.450885598
11,a-sma,sh,18.33,-3.503333333,-4.6425,1.139166667,0.454021755
12,a-sma,sh,18.31,-3.523333333,-4.6425,1.119166667,0.460359663
