"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"13","col1a1","con",11.02,-10.485,-10.4625,-0.0225000000000009,1.01571806093097
"14","col1a1","con",11.04,-10.465,-10.4625,-0.00250000000000128,1.0017343702347
"15","col1a1","con",11.1,-10.405,-10.4625,0.0574999999999992,0.960927838461034
"16","col1a1","con",11.01,-10.495,-10.4625,-0.0325000000000006,1.02278293874728
"17","col1a1","oe",11.7,-10.05,-10.4625,0.412500000000001,0.751320306129859
"18","col1a1","oe",11.62,-10.13,-10.4625,0.332500000000001,0.79415911781936
"19","col1a1","oe",11.65,-10.1,-10.4625,0.362500000000002,0.777815559506008
"20","col1a1","oe",11.56,-10.19,-10.4625,0.272500000000003,0.827883688986472
"21","col1a1","sh",11.31,-10.5233333333333,-10.4625,-0.0608333333333295,1.04306808661868
"22","col1a1","sh",11.29,-10.5433333333333,-10.4625,-0.0808333333333309,1.05762877449345
"23","col1a1","sh",11.26,-10.5733333333333,-10.4625,-0.11083333333333,1.07985180325465
"24","col1a1","sh",11.29,-10.5433333333333,-10.4625,-0.0808333333333309,1.05762877449345
