"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"37","ctgf","con",18.08,-3.425,-0.430000000000002,-2.995,7.97232210262295
"38","ctgf","con",30.03,8.525,-0.430000000000002,8.955,0.00201500620957296
"39","ctgf","con",18.02,-3.485,-0.430000000000002,-3.055,8.31087282638132
"40","ctgf","con",18.17,-3.335,-0.430000000000002,-2.905,7.49017797947593
"41","ctgf","oe",15.96,-5.79,-0.430000000000002,-5.36,41.0696287220128
"42","ctgf","oe",16.04,-5.71,-0.430000000000002,-5.28,38.8542363006415
"43","ctgf","oe",16.07,-5.68,-0.430000000000002,-5.25,38.054627680087
"44","ctgf","oe",16.04,-5.71,-0.430000000000002,-5.28,38.8542363006415
"45","ctgf","sh",17.49,-4.34333333333333,-0.430000000000002,-3.91333333333333,15.0671362781975
"46","ctgf","sh",17.42,-4.41333333333333,-0.430000000000002,-3.98333333333333,15.8162243256463
"47","ctgf","sh",17.36,-4.47333333333333,-0.430000000000002,-4.04333333333333,16.4878723252687
"48","ctgf","sh",17.41,-4.42333333333333,-0.430000000000002,-3.99333333333333,15.9262348656516
