File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
lzy_293T.lc96p	Rel Quant		A1	TGFbeta10	loxl-2		1.76	1.65	0.15556349186104	Unchecked	Unknown	Unknown	Reference	Unknown	A1							SYBR Green I	Unchecked	Replicate group contains positives and negatives.	0.34	0.859134			1
lzy_293T.lc96p	Rel Quant		A2	TGFbeta10	loxl-2					Unchecked	Unknown	Unknown	Reference	Unknown	A1							SYBR Green I	Unchecked	Replicate group contains positives and negatives.	0.2374	0.5351268			2
lzy_293T.lc96p	Rel Quant		A3	TGFbeta10	loxl-2		1.54	1.65	0.15556349186104	Unchecked	Unknown	Unknown	Reference	Unknown	A1							SYBR Green I	Unchecked	Replicate group contains positives and negatives.	0.3133	0.8152227			3
lzy_293T.lc96p	Rel Quant		A4	TGFbeta0	loxl-2		1.73	1.53333333333333	0.186100331362771	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A4							SYBR Green I	Unchecked	None	0.6371	1.840755			4
lzy_293T.lc96p	Rel Quant		A5	TGFbeta0	loxl-2		1.51	1.53333333333333	0.186100331362771	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A4							SYBR Green I	Unchecked	None	0.454	1.324275			5
lzy_293T.lc96p	Rel Quant		A6	TGFbeta0	loxl-2		1.36	1.53333333333333	0.186100331362771	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A4							SYBR Green I	Unchecked	None	0.571	1.706002			6
lzy_293T.lc96p	Rel Quant		A7	TGFbeta10	CTGF					Unchecked	Unknown	Unknown	Target	Unknown	A7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.0869	0.3457825			7
lzy_293T.lc96p	Rel Quant		A8	TGFbeta10	CTGF					Unchecked	Unknown	Unknown	Target	Unknown	A7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.1085	0.3804063			8
lzy_293T.lc96p	Rel Quant		A9	TGFbeta10	CTGF					Unchecked	Unknown	Unknown	Target	Unknown	A7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.0939	0.317592			9
lzy_293T.lc96p	Rel Quant		A10	TGFbeta0	CTGF					Unchecked	Unknown	Run Calibrator	Target	Unknown	A10	0						SYBR Green I	Unchecked	None	0.0973	0.537163			10
lzy_293T.lc96p	Rel Quant		A11	TGFbeta0	CTGF					Unchecked	Unknown	Run Calibrator	Target	Unknown	A10	0						SYBR Green I	Unchecked	None	0.055	0.2861947			11
lzy_293T.lc96p	Rel Quant		A12	TGFbeta0	CTGF					Unchecked	Unknown	Run Calibrator	Target	Unknown	A10	0						SYBR Green I	Unchecked	None	0.058	0.2615756			12
lzy_293T.lc96p	Rel Quant		B1	TGFbeta10	timp-1		1.73	1.99666666666667	0.402781992315115	Unchecked	Unknown	Unknown	Target	Unknown	B1	0.946057646725596	0.10201187836328					SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.2952	1.505472			13
lzy_293T.lc96p	Rel Quant		B2	TGFbeta10	timp-1		1.8	1.99666666666667	0.402781992315115	Unchecked	Unknown	Unknown	Target	Unknown	B1	0.90125046261083	0.0971803915806967					SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.2445	1.309411			14
lzy_293T.lc96p	Rel Quant		B3	TGFbeta10	timp-1		2.46	1.99666666666667	0.402781992315115	Unchecked	Unknown	Unknown	Target	Unknown	B1	0.570381857934212	0.0615033607239404					SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.1979	1.156022			15
lzy_293T.lc96p	Rel Quant		B4	TGFbeta0	timp-1					Unchecked	Unknown	Run Calibrator	Target	Unknown	B4	0						SYBR Green I	Unchecked	None	0.149	0.8186453			16
lzy_293T.lc96p	Rel Quant		B5	TGFbeta0	timp-1					Unchecked	Unknown	Run Calibrator	Target	Unknown	B4	0						SYBR Green I	Unchecked	None	0.1053	0.578968			17
lzy_293T.lc96p	Rel Quant		B6	TGFbeta0	timp-1					Unchecked	Unknown	Run Calibrator	Target	Unknown	B4	0						SYBR Green I	Unchecked	None	0.1015	0.366385			18
lzy_293T.lc96p	Rel Quant		B7	TGFbeta10	FN					Unchecked	Unknown	Unknown	Target	Unknown	B7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.1275	0.3260917			19
lzy_293T.lc96p	Rel Quant		B8	TGFbeta10	FN					Unchecked	Unknown	Unknown	Target	Unknown	B7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.1153	0.3236515			20
lzy_293T.lc96p	Rel Quant		B9	TGFbeta10	FN					Unchecked	Unknown	Unknown	Target	Unknown	B7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.2128	0.5380005			21
lzy_293T.lc96p	Rel Quant		B10	TGFbeta0	FN					Unchecked	Unknown	Run Calibrator	Target	Unknown	B10	0						SYBR Green I	Unchecked	None	0.0739	0.2396859			22
lzy_293T.lc96p	Rel Quant		B11	TGFbeta0	FN					Unchecked	Unknown	Run Calibrator	Target	Unknown	B10	0						SYBR Green I	Unchecked	None	0.0557	0.3284302			23
lzy_293T.lc96p	Rel Quant		B12	TGFbeta0	FN					Unchecked	Unknown	Run Calibrator	Target	Unknown	B10	0						SYBR Green I	Unchecked	None	0.0843	0.2736841			24
lzy_293T.lc96p	Rel Quant		C1	TGFbeta10	timp-3					Unchecked	Unknown	Unknown	Target	Unknown	C1	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.0272	0.1065267			25
lzy_293T.lc96p	Rel Quant		C2	TGFbeta10	timp-3					Unchecked	Unknown	Unknown	Target	Unknown	C1	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.0341	0.1098891			26
lzy_293T.lc96p	Rel Quant		C3	TGFbeta10	timp-3					Unchecked	Unknown	Unknown	Target	Unknown	C1	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.0327	0.113062			27
lzy_293T.lc96p	Rel Quant		C4	TGFbeta0	timp-3					Unchecked	Unknown	Run Calibrator	Target	Unknown	C4	0						SYBR Green I	Unchecked	None	0.0336	0.09965567			28
lzy_293T.lc96p	Rel Quant		C5	TGFbeta0	timp-3					Unchecked	Unknown	Run Calibrator	Target	Unknown	C4	0						SYBR Green I	Unchecked	None	0.0326	0.08036531			29
lzy_293T.lc96p	Rel Quant		C6	TGFbeta0	timp-3					Unchecked	Unknown	Run Calibrator	Target	Unknown	C4	0						SYBR Green I	Unchecked	None	0.0401	0.09862734			30
lzy_293T.lc96p	Rel Quant		C7	TGFbeta10	snail					Unchecked	Unknown	Unknown	Target	Unknown	C7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0	4.403985E-07			31
lzy_293T.lc96p	Rel Quant		C8	TGFbeta10	snail					Unchecked	Unknown	Unknown	Target	Unknown	C7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0	4.403985E-07			32
lzy_293T.lc96p	Rel Quant		C9	TGFbeta10	snail					Unchecked	Unknown	Unknown	Target	Unknown	C7	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.0179	0.007718326			33
lzy_293T.lc96p	Rel Quant		C10	TGFbeta0	snail					Unchecked	Unknown	Run Calibrator	Target	Unknown	C10	0						SYBR Green I	Unchecked	None	0.0395	0.108432			34
lzy_293T.lc96p	Rel Quant		C11	TGFbeta0	snail					Unchecked	Unknown	Run Calibrator	Target	Unknown	C10	0						SYBR Green I	Unchecked	None	0.0618	0.1673372			35
lzy_293T.lc96p	Rel Quant		C12	TGFbeta0	snail					Unchecked	Unknown	Run Calibrator	Target	Unknown	C10	0						SYBR Green I	Unchecked	None	0.0893	0.2490502			36
lzy_293T.lc96p	Rel Quant		D1	TGFbeta10	a-sma					Unchecked	Unknown	Unknown	Target	Unknown	D1	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.1085	0.6209692			37
lzy_293T.lc96p	Rel Quant		D2	TGFbeta10	a-sma					Unchecked	Unknown	Unknown	Target	Unknown	D1	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.1686	0.6200989			38
lzy_293T.lc96p	Rel Quant		D3	TGFbeta10	a-sma					Unchecked	Unknown	Unknown	Target	Unknown	D1	0						SYBR Green I	Unchecked	No normalized ratio because run calibrator is negative	0.0971	0.5522417			39
lzy_293T.lc96p	Rel Quant		D4	TGFbeta0	a-sma					Unchecked	Unknown	Run Calibrator	Target	Unknown	D4	0						SYBR Green I	Unchecked	None	0.0651	0.3811909			40
lzy_293T.lc96p	Rel Quant		D5	TGFbeta0	a-sma					Unchecked	Unknown	Run Calibrator	Target	Unknown	D4	0						SYBR Green I	Unchecked	None	0.0695	0.3974765			41
lzy_293T.lc96p	Rel Quant		D6	TGFbeta0	a-sma					Unchecked	Unknown	Run Calibrator	Target	Unknown	D4	0						SYBR Green I	Unchecked	None	0.0635	0.365942			42
