"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"47","COL3A1","0",21.574432,-2.064474,-2.08382275,0.0193487500000007,0.986678002369767
"48","COL3A1","0",21.584951,-2.053955,-2.08382275,0.0298677499999993,0.979510083901924
"49","COL3A1","0",21.55225,-2.086656,-2.08382275,-0.00283325000000012,1.00196578888387
"50","COL3A1","0",21.5087,-2.130206,-2.08382275,-0.0463832499999999,1.03267282719863
"51","COL3A1","0.001",22.237165,-1.34853225,-2.08382275,0.7352905,0.600697056672427
"52","COL3A1","0.001",22.355213,-1.23048425,-2.08382275,0.853338499999998,0.55350240855783
"53","COL3A1","0.001",22.369806,-1.21589125,-2.08382275,0.867931499999999,0.547931898731601
"54","COL3A1","0.01",21.851831,-1.99361025,-2.08382275,0.090212499999998,0.939384373551954
"55","COL3A1","0.01",21.707352,-2.13808925,-2.08382275,-0.0542665000000024,1.03833105720798
"56","COL3A1","0.01",21.622375,-2.22306625,-2.08382275,-0.139243500000001,1.1013274659358
"57","COL3A1","0.1",22.341269,-2.18707766666667,-2.08382275,-0.103254916666669,1.07419425935866
"58","COL3A1","0.1",22.336702,-2.19164466666667,-2.08382275,-0.107821916666671,1.07760012007272
"59","COL3A1","0.1",22.12305,-2.40529666666667,-2.08382275,-0.321473916666671,1.24960654649383
"60","COL3A1","1",21.83354,-1.36959525,-2.08382275,0.714227499999998,0.609531421849881
"61","COL3A1","1",21.739124,-1.46401125,-2.08382275,0.619811499999999,0.650755948795734
"62","COL3A1","1",21.57964,-1.62349525,-2.08382275,0.4603275,0.726821247364391
"63","COL3A1","1",21.576555,-1.62658025,-2.08382275,0.457242499999998,0.728377115066932
"64","COL3A1","10",20.800856,-2.478936,-2.08382275,-0.395113250000003,1.31504598584074
"65","COL3A1","10",20.547365,-2.732427,-2.08382275,-0.648604250000004,1.56765082217027
"66","COL3A1","10",20.736813,-2.542979,-2.08382275,-0.459156250000001,1.37473757742771
"67","COL3A1","10",20.807432,-2.47236,-2.08382275,-0.388537250000004,1.30906546793709
