"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"68","CTGF","0",19.39322,-4.245686,-4.25785275,0.0121667499999996,0.991602112469233
"69","CTGF","0",19.327631,-4.311275,-4.25785275,-0.0534222499999997,1.03772361452019
"70","CTGF","0",19.460154,-4.178752,-4.25785275,0.0791007499999994,0.946647520197817
"71","CTGF","0",19.343208,-4.295698,-4.25785275,-0.0378452499999993,1.0265794242585
"72","CTGF","0.001",19.754314,-3.83138325,-4.25785275,0.426469500000001,0.74408044014437
"73","CTGF","0.001",20.676178,-2.90951925,-4.25785275,1.3483335,0.39274545899847
"74","CTGF","0.001",19.526808,-4.05888925,-4.25785275,0.198963499999999,0.871176232510697
"75","CTGF","0.001",19.666912,-3.91878525,-4.25785275,0.3390675,0.790552127832598
"76","CTGF","0.01",20.209661,-3.63578025,-4.25785275,0.622072499999999,0.649736879069067
"77","CTGF","0.01",20.062939,-3.78250225,-4.25785275,0.475350499999998,0.719292018156376
"78","CTGF","0.01",20.20771,-3.63773125,-4.25785275,0.620121499999997,0.650616132226006
"79","CTGF","0.01",20.119722,-3.72571925,-4.25785275,0.532133499999998,0.69153132059117
"80","CTGF","0.1",20.60652,-3.92182666666667,-4.25785275,0.336026083333331,0.792220487774708
"81","CTGF","0.1",20.597885,-3.93046166666667,-4.25785275,0.327391083333333,0.79697640423894
"82","CTGF","0.1",20.63903,-3.88931666666667,-4.25785275,0.368536083333333,0.774568059876006
"83","CTGF","1",18.823866,-4.37926925,-4.25785275,-0.121416500000001,1.0878023895095
"84","CTGF","1",18.817892,-4.38524325,-4.25785275,-0.1273905,1.09231616729319
"85","CTGF","1",18.879177,-4.32395825,-4.25785275,-0.0661055000000017,1.04688683489792
"86","CTGF","1",18.832235,-4.37090025,-4.25785275,-0.1130475,1.081510371076
"87","CTGF","10",16.341028,-6.938764,-4.25785275,-2.68091125,6.4126081398501
"88","CTGF","10",16.42268,-6.857112,-4.25785275,-2.59925925,6.05975409382925
"89","CTGF","10",16.488398,-6.791394,-4.25785275,-2.53354125,5.78991131342489
"90","CTGF","10",16.47662,-6.803172,-4.25785275,-2.54531925,5.8373729701871
