"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"112","FN1","0",15.38708,-8.251826,-8.31018616666667,0.0583601666666667,0.960355082809175
"113","FN1","0",15.3283615,-8.3105445,-8.31018616666667,-0.000358333333332794,1.00024840858801
"114","FN1","0",15.270718,-8.368188,-8.31018616666667,-0.0580018333333321,1.04102292058379
"115","FN1","0.001",15.721574,-7.86412325,-8.31018616666667,0.446062916666667,0.734043305316023
"116","FN1","0.001",15.89739,-7.68830725,-8.31018616666667,0.621878916666667,0.649824067744582
"117","FN1","0.001",15.247955,-8.33774225,-8.31018616666667,-0.0275560833333337,1.01928400147566
"118","FN1","0.01",15.469589,-8.37585225,-8.31018616666667,-0.0656660833333351,1.04656802221681
"119","FN1","0.01",16.13701,-7.70843125,-8.31018616666667,0.601754916666666,0.658951908332938
"120","FN1","0.01",15.8143,-8.03114125,-8.31018616666667,0.279044916666665,0.824136426004995
"121","FN1","0.01",14.811701,-9.03374025,-8.31018616666667,-0.723554083333335,1.65124487451266
"122","FN1","0.1",14.927254,-9.60109266666667,-8.31018616666667,-1.2909065,2.44681750069006
"123","FN1","0.1",14.414115,-10.1142316666667,-8.31018616666667,-1.8040455,3.49198049356614
"124","FN1","0.1",14.638665,-9.88968166666667,-8.31018616666667,-1.5794955,2.98865320414932
"125","FN1","0.1",14.970761,-9.55758566666667,-8.31018616666667,-1.2473995,2.37413093034997
"126","FN1","1",15.115372,-8.08776325,-8.31018616666667,0.222422916666668,0.857124739261062
"127","FN1","1",15.444702,-7.75843325,-8.31018616666667,0.551752916666667,0.682190742911953
"128","FN1","1",15.266503,-7.93663225,-8.31018616666667,0.373553916666667,0.771878716618851
"129","FN1","1",15.3985,-7.80463525,-8.31018616666667,0.505550916666667,0.704391342866671
"130","FN1","10",12.93662,-10.343172,-8.31018616666667,-2.03298583333333,4.0925096919934
"131","FN1","10",13.069339,-10.210453,-8.31018616666667,-1.90026683333334,3.73282230560546
"132","FN1","10",12.95199,-10.327802,-8.31018616666667,-2.01761583333333,4.04914086423722
"133","FN1","10",13.083443,-10.196349,-8.31018616666667,-1.88616283333333,3.6965074816753
