"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"134","LOXL-2","0",20.245804,-3.393102,-4.171975,0.778873,0.582821902441659
"135","LOXL-2","0",19.101763,-4.537143,-4.171975,-0.365168000000001,1.28803161041763
"136","LOXL-2","0",19.114014,-4.524892,-4.171975,-0.352916999999999,1.27714028164839
"137","LOXL-2","0",19.406143,-4.232763,-4.171975,-0.0607879999999996,1.04303531114707
"138","LOXL-2","0.001",19.966644,-3.61905325,-4.171975,0.552921749999999,0.681638273858067
"139","LOXL-2","0.001",18.56284,-5.02285725,-4.171975,-0.850882249999999,1.8036035440977
"140","LOXL-2","0.001",18.919382,-4.66631525,-4.171975,-0.494340250000001,1.40867641467238
"141","LOXL-2","0.01",19.40874,-4.43670125,-4.171975,-0.26472625,1.20140806187011
"142","LOXL-2","0.01",20.97938,-2.86606125,-4.171975,1.30591375,0.404464853962392
"143","LOXL-2","0.01",19.161293,-4.68414825,-4.171975,-0.512173250000001,1.42619697586542
"144","LOXL-2","0.01",20.386845,-3.45859625,-4.171975,0.71337875,0.609890119971949
"145","LOXL-2","0.1",19.661537,-4.86680966666667,-4.171975,-0.69483466666667,1.61869891902851
"146","LOXL-2","0.1",20.507406,-4.02094066666667,-4.171975,0.151034333333331,0.900604546957981
"147","LOXL-2","0.1",20.722174,-3.80617266666667,-4.171975,0.36580233333333,0.776037173468326
"148","LOXL-2","0.1",20.51718,-4.01116666666667,-4.171975,0.160808333333331,0.894523734237959
"149","LOXL-2","1",18.890379,-4.31275625,-4.171975,-0.140781250000001,1.10250198248899
"150","LOXL-2","1",17.63126,-5.57187525,-4.171975,-1.39990025,2.63883336252258
"151","LOXL-2","1",19.16459,-4.03854525,-4.171975,0.13342975,0.911661559322688
"152","LOXL-2","1",18.988005,-4.21513025,-4.171975,-0.043155249999999,1.03036482634654
"153","LOXL-2","10",17.520206,-5.759586,-4.171975,-1.587611,3.00551245775983
"154","LOXL-2","10",17.853737,-5.426055,-4.171975,-1.25408,2.3851500017942
"155","LOXL-2","10",17.770844,-5.508948,-4.171975,-1.336973,2.5262072453466
"156","LOXL-2","10",18.587994,-4.691798,-4.171975,-0.519823000000003,1.43377933106683
