"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"157","NCAD","0",24.989243,1.350337,1.2931315,0.0572054999999976,0.961124014455503
"158","NCAD","0",24.865093,1.226187,1.2931315,-0.0669444999999991,1.04749582950735
"159","NCAD","0",25.6061,1.967194,1.2931315,0.674062500000001,0.62673935821852
"160","NCAD","0",24.267714,0.628808000000003,1.2931315,-0.664323499999999,1.58482495224249
"161","NCAD","0.001",24.921757,1.33605975,1.2931315,0.0429282499999983,0.970682743835133
"162","NCAD","0.001",24.00932,0.42362275,1.2931315,-0.869508750000002,1.82704067155335
"163","NCAD","0.001",24.060852,0.475154750000002,1.2931315,-0.817976750000001,1.76293190475317
"164","NCAD","0.001",24.827658,1.24196075,1.2931315,-0.0511707500000016,1.03610538443305
"165","NCAD","0.01",25.881578,2.03613675,1.2931315,0.743005249999999,0.597493428132289
"166","NCAD","0.01",25.890741,2.04529975,1.2931315,0.752168249999996,0.593710589274974
"167","NCAD","0.01",25.725163,1.87972175,1.2931315,0.586590249999996,0.665914910955866
"168","NCAD","0.01",25.533812,1.68837075,1.2931315,0.395239249999999,0.760363270969349
"169","NCAD","0.1",25.552351,1.02400433333333,1.2931315,-0.269127166666668,1.20507853222152
"170","NCAD","0.1",25.566826,1.03847933333333,1.2931315,-0.254652166666671,1.19304806482983
"171","NCAD","0.1",25.482151,0.953804333333334,1.2931315,-0.339327166666668,1.26516641749948
"172","NCAD","1",24.199049,0.99591375,1.2931315,-0.297217750000002,1.22877242851164
"173","NCAD","1",24.731627,1.52849175,1.2931315,0.235360249999998,0.849472853953409
"174","NCAD","1",24.505861,1.30272575,1.2931315,0.00959424999999836,0.993371836487821
"175","NCAD","1",24.656662,1.45352675,1.2931315,0.16039525,0.894779897696841
"176","NCAD","10",21.01621,-2.263582,1.2931315,-3.5567135,11.7673169025528
"177","NCAD","10",21.389402,-1.89039,1.2931315,-3.1835215,9.08522031509179
"178","NCAD","10",21.513351,-1.766441,1.2931315,-3.0595725,8.33725522169683
