"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"201","SMAD2","0",20.14328,-3.495626,-3.033422,-0.462204,1.37764483438019
"202","SMAD2","0",21.692986,-1.94592,-3.033422,1.087502,0.470575462395972
"203","SMAD2","0",19.980186,-3.65872,-3.033422,-0.625298000000001,1.54252941407777
"204","SMAD2","0.001",21.54912,-2.03657725,-3.033422,0.996844749999998,0.501094722992782
"205","SMAD2","0.001",19.669308,-3.91638925,-3.033422,-0.88296725,1.84416437176738
"206","SMAD2","0.001",21.317352,-2.26834525,-3.033422,0.765076749999999,0.588422064284183
"207","SMAD2","0.001",21.139553,-2.44614425,-3.033422,0.587277749999998,0.665597652337793
"208","SMAD2","0.01",21.460413,-2.38502825,-3.033422,0.648393749999997,0.637990236079432
"209","SMAD2","0.01",21.262243,-2.58319825,-3.033422,0.450223749999999,0.731929323020096
"210","SMAD2","0.01",20.861828,-2.98361325,-3.033422,0.0498087499999968,0.966064386180799
"211","SMAD2","0.1",21.162424,-3.36592266666667,-3.033422,-0.332500666666668,1.2591940829743
"212","SMAD2","0.1",21.215734,-3.31261266666667,-3.033422,-0.279190666666668,1.21351392772782
"213","SMAD2","0.1",21.254475,-3.27387166666667,-3.033422,-0.24044966666667,1.18136081671367
"214","SMAD2","0.1",20.962847,-3.56549966666667,-3.033422,-0.53207766666667,1.44601013758342
"215","SMAD2","1",21.329372,-1.87376325,-3.033422,1.15965875,0.447618401021847
"216","SMAD2","1",21.301609,-1.90152625,-3.033422,1.13189575,0.456315716724955
"217","SMAD2","1",21.231306,-1.97182925,-3.033422,1.06159275,0.47910283317949
"218","SMAD2","1",21.280233,-1.92290225,-3.033422,1.11051975,0.463127153195003
"219","SMAD2","10",21.008167,-2.271625,-3.033422,0.761796999999998,0.589761274939625
"220","SMAD2","10",21.07019,-2.209602,-3.033422,0.823819999999998,0.564944088980535
"221","SMAD2","10",20.878141,-2.401651,-3.033422,0.631770999999997,0.64538367930195
"222","SMAD2","10",21.072905,-2.206887,-3.033422,0.826534999999996,0.563881923508087
