"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"223","SNAIL","0",25.135284,1.496378,1.3955445,0.100833499999998,0.932494098443612
"224","SNAIL","0",24.878136,1.23923,1.3955445,-0.156314499999999,1.11443656570448
"225","SNAIL","0",25.029453,1.390547,1.3955445,-0.00499749999999999,1.00347000962698
"226","SNAIL","0",25.094929,1.456023,1.3955445,0.0604785000000003,0.958946012063008
"227","SNAIL","0.001",25.480755,1.89505775,1.3955445,0.499513249999998,0.70734539176229
"228","SNAIL","0.001",29.014185,5.42848775,1.3955445,4.03294325,0.0610890133571044
"229","SNAIL","0.001",24.252121,0.66642375,1.3955445,-0.729120750000002,1.65762854257157
"230","SNAIL","0.001",24.505182,0.919484750000002,1.3955445,-0.476059749999999,1.39093957703641
"231","SNAIL","0.01",25.260292,1.41485075,1.3955445,0.0193062499999979,0.986707069103609
"232","SNAIL","0.01",25.244537,1.39909575,1.3955445,0.00355124999999923,0.99754148817769
"233","SNAIL","0.01",25.207148,1.36170675,1.3955445,-0.0338377500000018,1.02373176187588
"234","SNAIL","0.01",25.150093,1.30465175,1.3955445,-0.0908927500000036,1.06502902615523
"235","SNAIL","0.1",25.864746,1.33639933333333,1.3955445,-0.0591451666666689,1.04184825644952
"236","SNAIL","0.1",26.012383,1.48403633333333,1.3955445,0.0884918333333307,0.940505422434028
"237","SNAIL","0.1",24.989332,0.460985333333333,1.3955445,-0.934559166666668,1.91130652257666
"238","SNAIL","0.1",25.797762,1.26941533333333,1.3955445,-0.12612916666667,1.09136158393241
"239","SNAIL","1",24.963875,1.76073975,1.3955445,0.365195250000001,0.776363797153614
"240","SNAIL","1",24.923977,1.72084175,1.3955445,0.32529725,0.798133923497565
"241","SNAIL","1",25.147217,1.94408175,1.3955445,0.548537250000001,0.683712994384009
"242","SNAIL","1",24.73551,1.53237475,1.3955445,0.136830250000001,0.909515260647762
"243","SNAIL","10",24.086502,0.806709999999999,1.3955445,-0.588834500000003,1.50403120526125
"244","SNAIL","10",24.566387,1.286595,1.3955445,-0.108949500000003,1.0784426812988
"245","SNAIL","10",24.61333,1.333538,1.3955445,-0.0620065000000007,1.04391663073227
"246","SNAIL","10",24.452633,1.172841,1.3955445,-0.222703500000003,1.16691825430478
