"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"271","TIMP-3","0",19.512482,-4.126424,-4.064085,-0.0623390000000015,1.04415725142586
"272","TIMP-3","0",19.541857,-4.097049,-4.064085,-0.0329639999999998,1.02311193939828
"273","TIMP-3","0",19.670124,-3.968782,-4.064085,0.0953030000000012,0.936075628818519
"274","TIMP-3","0.001",21.53686,-2.04883725,-4.064085,2.01524775,0.247371680006642
"275","TIMP-3","0.001",19.317492,-4.26820525,-4.064085,-0.204120249999999,1.15198365727828
"276","TIMP-3","0.001",19.23141,-4.35428725,-4.064085,-0.29020225,1.22281169044588
"277","TIMP-3","0.01",19.109701,-4.73574025,-4.064085,-0.671655250000001,1.59289950385526
"278","TIMP-3","0.01",19.107628,-4.73781325,-4.064085,-0.673728250000003,1.59518997695225
"279","TIMP-3","0.01",18.978804,-4.86663725,-4.064085,-0.802552250000002,1.74418400842583
"280","TIMP-3","0.01",19.10874,-4.73670125,-4.064085,-0.672616250000001,1.59396091068704
"281","TIMP-3","0.1",20.45711,-4.07123666666667,-4.064085,-0.00715166666666889,1.00496946461954
"282","TIMP-3","0.1",20.357817,-4.17052966666667,-4.064085,-0.106444666666668,1.07657189404538
"283","TIMP-3","0.1",20.727568,-3.80077866666667,-4.064085,0.263306333333333,0.833176276652255
"284","TIMP-3","0.1",20.660929,-3.86741766666667,-4.064085,0.19666733333333,0.872563884430601
"285","TIMP-3","1",20.716753,-2.48638225,-4.064085,1.57770275,0.335014919300228
"286","TIMP-3","1",20.76687,-2.43626525,-4.064085,1.62781975,0.323576838714124
"287","TIMP-3","1",20.787954,-2.41518125,-4.064085,1.64890375,0.318882371580104
"288","TIMP-3","1",20.853355,-2.34978025,-4.064085,1.71430475,0.30474939249298
"289","TIMP-3","10",21.107557,-2.172235,-4.064085,1.89185,0.26946130125569
"290","TIMP-3","10",21.1118,-2.167992,-4.064085,1.896093,0.268669973467024
"291","TIMP-3","10",21.222383,-2.057409,-4.064085,2.006676,0.248845809894066
"292","TIMP-3","10",21.20911,-2.070682,-4.064085,1.993403,0.251145790664921
