"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"293","TWIST","0",22.392057,-1.246849,-1.2271185,-0.0197304999999988,1.01377008664003
"294","TWIST","0",22.695837,-0.943068999999998,-1.2271185,0.284049500000001,0.821282521420264
"295","TWIST","0",22.346455,-1.292451,-1.2271185,-0.0653325000000011,1.04632606027701
"296","TWIST","0",22.212801,-1.426105,-1.2271185,-0.198986500000001,1.14789167242342
"297","TWIST","0.001",22.703371,-0.882326249999998,-1.2271185,0.34479225,0.78742135812575
"298","TWIST","0.001",22.513311,-1.07238625,-1.2271185,0.154732250000001,0.898299072881019
"299","TWIST","0.001",22.749594,-0.836103250000001,-1.2271185,0.391015249999998,0.762592765602901
"300","TWIST","0.001",22.389315,-1.19638225,-1.2271185,0.0307362499999995,0.978920597923394
"301","TWIST","0.01",22.116302,-1.72913925,-1.2271185,-0.502020750000001,1.41619580693478
"302","TWIST","0.01",21.778759,-2.06668225,-1.2271185,-0.839563750000001,1.78950893855495
"303","TWIST","0.01",22.17563,-1.66981125,-1.2271185,-0.44269275,1.35913875601981
"304","TWIST","0.01",21.380182,-2.46525925,-1.2271185,-1.23814075,2.35894331290462
"305","TWIST","0.1",22.568296,-1.96005066666667,-1.2271185,-0.732932166666669,1.66201357599182
"306","TWIST","0.1",22.257748,-2.27059866666667,-1.2271185,-1.04348016666667,2.0611938123349
"307","TWIST","0.1",22.454897,-2.07344966666667,-1.2271185,-0.84633116666667,1.79792291410266
"308","TWIST","0.1",22.615986,-1.91236066666667,-1.2271185,-0.685242166666669,1.60797186839706
"309","TWIST","1",22.168104,-1.03503125,-1.2271185,0.192087249999999,0.875338390173547
"310","TWIST","1",22.273079,-0.93005625,-1.2271185,0.297062249999999,0.813908065472232
"311","TWIST","1",22.159498,-1.04363725,-1.2271185,0.183481249999999,0.880575585296064
"312","TWIST","1",22.174114,-1.02902125,-1.2271185,0.198097249999999,0.871699477547135
"313","TWIST","10",22.830282,-0.44951,-1.2271185,0.777608499999999,0.583332960804092
"314","TWIST","10",22.566675,-0.713117,-1.2271185,0.514001499999998,0.700277432350233
"315","TWIST","10",22.830431,-0.449361,-1.2271185,0.777757499999999,0.583272717911087
"316","TWIST","10",22.415066,-0.864726000000001,-1.2271185,0.362392499999998,0.777873519286544
