"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"317","VIM","0",19.60663,-4.032276,-7.890655,3.858379,0.0689464939375931
"318","VIM","0",13.798813,-9.840093,-7.890655,-1.949438,3.86224049179487
"319","VIM","0",14.50747,-9.131436,-7.890655,-1.240781,2.36326432492818
"320","VIM","0",15.080091,-8.558815,-7.890655,-0.66816,1.58904502115246
"321","VIM","0.001",14.186441,-9.39925625,-7.890655,-1.50860125,2.84534038321128
"322","VIM","0.001",14.468584,-9.11711325,-7.890655,-1.22645825,2.33991844936124
"323","VIM","0.001",15.13948,-8.44621725,-7.890655,-0.555562249999999,1.46974131220528
"324","VIM","0.001",13.468386,-10.11731125,-7.890655,-2.22665625,4.68047921831731
"325","VIM","0.01",14.502729,-9.34271225,-7.890655,-1.45205725,2.73597917662627
"326","VIM","0.01",15.218386,-8.62705525,-7.890655,-0.736400250000001,1.6660136834248
"327","VIM","0.01",14.840025,-9.00541625,-7.890655,-1.11476125,2.16559168003421
"328","VIM","0.01",15.186315,-8.65912625,-7.890655,-0.768471250000001,1.70346375358517
"329","VIM","0.1",14.652494,-9.87585266666667,-7.890655,-1.98519766666667,3.95916904253698
"330","VIM","0.1",15.138845,-9.38950166666667,-7.890655,-1.49884666666667,2.82616689952794
"331","VIM","0.1",14.657402,-9.87094466666667,-7.890655,-1.98028966666667,3.94572296714818
"332","VIM","0.1",15.10367,-9.42467666666667,-7.890655,-1.53402166666667,2.89591983590371
"333","VIM","1",14.357285,-8.84585025,-7.890655,-0.955195250000001,1.93884201315126
"334","VIM","1",14.542833,-8.66030225,-7.890655,-0.76964725,1.7048528829677
"335","VIM","1",14.659631,-8.54350425,-7.890655,-0.652849250000001,1.57227028612847
"336","VIM","1",14.633083,-8.57005225,-7.890655,-0.679397250000001,1.6014705298695
"337","VIM","10",14.517354,-8.762438,-7.890655,-0.871783000000002,1.82992307144886
"338","VIM","10",14.463907,-8.815885,-7.890655,-0.925230000000001,1.89898696158545
"339","VIM","10",14.45991,-8.819882,-7.890655,-0.929227000000001,1.90425541736933
"340","VIM","10",14.604769,-8.675023,-7.890655,-0.784368000000002,1.72233765137396
