"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"1","a-SMA","0",20.770676,-2.86823,-3.24998166666667,0.381751666666668,0.767505148481504
"2","a-SMA","0",19.88771,-3.751196,-3.24998166666667,-0.501214333333335,1.41540442362261
"3","a-SMA","0",20.508387,-3.130519,-3.24998166666667,0.119462666666666,0.920530439345827
"4","a-SMA","0.001",20.842518,-2.74317925,-3.24998166666667,0.506802416666665,0.703780566859076
"5","a-SMA","0.001",21.002295,-2.58340225,-3.24998166666667,0.666579416666667,0.629998624279804
"6","a-SMA","0.001",19.737207,-3.84849025,-3.24998166666667,-0.598508583333332,1.51415047192062
"7","a-SMA","0.01",20.65097,-3.19447125,-3.24998166666667,0.055510416666666,0.962253943322123
"8","a-SMA","0.01",20.574968,-3.27047325,-3.24998166666667,-0.0204915833333366,1.01430503480792
"9","a-SMA","0.01",20.209167,-3.63627425,-3.24998166666667,-0.386292583333334,1.30703029709034
"10","a-SMA","0.01",20.459879,-3.38556225,-3.24998166666667,-0.135580583333334,1.09853480787912
"11","a-SMA","0.1",20.834784,-3.69356266666667,-3.24998166666667,-0.443581000000003,1.3599758190777
"12","a-SMA","0.1",20.948645,-3.57970166666667,-3.24998166666667,-0.329720000000003,1.25676943551717
"13","a-SMA","0.1",21.042347,-3.48599966666667,-3.24998166666667,-0.236018000000003,1.17773748372081
"14","a-SMA","0.1",21.189207,-3.33913966666667,-3.24998166666667,-0.0891580000000025,1.0637491654022
"15","a-SMA","1",20.728968,-2.47416725,-3.24998166666667,0.775814416666665,0.584058823794868
"16","a-SMA","1",20.798576,-2.40455925,-3.24998166666667,0.845422416666667,0.556547829764347
"17","a-SMA","1",20.561256,-2.64187925,-3.24998166666667,0.608102416666667,0.656059052126343
"18","a-SMA","1",20.844633,-2.35850225,-3.24998166666667,0.891479416666668,0.539061052690627
"19","a-SMA","10",20.116903,-3.162889,-3.24998166666667,0.0870926666666656,0.941417993778688
"20","a-SMA","10",19.780394,-3.499398,-3.24998166666667,-0.249416333333334,1.18872609846978
"21","a-SMA","10",20.089907,-3.189885,-3.24998166666667,0.0600966666666651,0.959199846727318
"22","a-SMA","10",20.32435,-2.955442,-3.24998166666667,0.294539666666664,0.815332446161516
