"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"63","CTGF","0",20.67049,-3.34826766666666,-3.33458341666667,-0.013684249999999,1.00953032637541
"64","CTGF","0",20.70396,-3.31479766666667,-3.33458341666667,0.0197857499999987,0.98637917761588
"65","CTGF","0",20.637987,-3.38077066666667,-3.33458341666667,-0.0461872500000009,1.03253254105357
"66","CTGF","0",20.72426,-3.29449766666666,-3.33458341666667,0.0400857500000011,0.972597137077644
"67","CTGF","0.001",20.947224,-3.73053375,-3.33458341666667,-0.395950333333337,1.31580922579301
"68","CTGF","0.001",20.950184,-3.72757375,-3.33458341666667,-0.392990333333335,1.31311232698697
"69","CTGF","0.01",20.977087,-3.0971625,-3.33458341666667,0.237420916666666,0.848260379525625
"70","CTGF","0.01",21.070612,-3.0036375,-3.33458341666667,0.330945916666666,0.795015053684143
"71","CTGF","0.01",20.861345,-3.2129045,-3.33458341666667,0.121678916666665,0.919117417658726
"72","CTGF","0.1",20.61697,-3.23928425,-3.33458341666667,0.0952991666666652,0.93607811603486
"73","CTGF","0.1",20.551462,-3.30479225,-3.33458341666667,0.0297911666666675,0.979562081126683
"74","CTGF","0.1",20.447832,-3.40842225,-3.33458341666667,-0.0738388333333351,1.05251356951365
"75","CTGF","1",19.70752,-3.36298425,-3.33458341666667,-0.0284008333333343,1.01988100380122
"76","CTGF","1",19.775633,-3.29487125,-3.33458341666667,0.039712166666666,0.972849022000054
"77","CTGF","1",19.804586,-3.26591825,-3.33458341666667,0.0686651666666673,0.953519820862219
"78","CTGF","1",19.98336,-3.08714425,-3.33458341666667,0.247439166666668,0.842390360831879
"79","CTGF","10",17.109325,-6.088879,-3.33458341666667,-2.75429558333334,6.74723113169347
"80","CTGF","10",17.159693,-6.038511,-3.33458341666667,-2.70392758333333,6.51573343645275
"81","CTGF","10",17.215548,-5.982656,-3.33458341666667,-2.64807258333334,6.26829285132251
"82","CTGF","10",17.186493,-6.011711,-3.33458341666667,-2.67712758333334,6.3958122252471
