"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"83","ECAD","0",31.360796,7.34203833333333,7.34203833333333,0,1
"84","ECAD","0.001",30.094326,5.41656825,7.34203833333333,-1.92547008333334,3.79860600832265
"85","ECAD","0.01",30.250946,6.1766965,7.34203833333333,-1.16534183333334,2.2428635190054
"86","ECAD","0.01",30.666788,6.5925385,7.34203833333333,-0.749499833333335,1.6812098722982
"87","ECAD","0.01",29.5371,5.4628505,7.34203833333333,-1.87918783333334,3.67867910326875
"88","ECAD","1",30.74825,7.67774575,7.34203833333333,0.335707416666665,0.792395495062053
"89","ECAD","1",30.671528,7.60102375,7.34203833333333,0.258985416666665,0.835675406217414
"90","ECAD","1",30.689917,7.61941275,7.34203833333333,0.277374416666667,0.825091248210616
"91","ECAD","10",30.183668,6.985464,7.34203833333333,-0.356574333333334,1.28038202932347
"92","ECAD","10",30.479998,7.281794,7.34203833333333,-0.0602443333333369,1.04264232671046
"93","ECAD","10",29.766954,6.56875,7.34203833333333,-0.773288333333337,1.70916103619146
