"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"94","FN-1","0",17.287718,-6.73103966666666,-6.81458441666667,0.0835447500000015,0.943736004768635
"95","FN-1","0",17.249222,-6.76953566666667,-6.81458441666667,0.0450487499999994,0.969257064288882
"96","FN-1","0",17.144184,-6.87457366666667,-6.81458441666667,-0.059989250000001,1.04245799311138
"97","FN-1","0",17.135569,-6.88318866666667,-6.81458441666667,-0.0686042499999999,1.04870161563235
"98","FN-1","0.001",17.850733,-6.82702475,-6.81458441666667,-0.0124403333333341,1.00866026697654
"99","FN-1","0.001",17.973347,-6.70441075,-6.81458441666667,0.110173666666665,0.926476529119714
"100","FN-1","0.001",17.889305,-6.78845275,-6.81458441666667,0.0261316666666644,0.98204996499345
"101","FN-1","0.001",17.720694,-6.95706375,-6.81458441666667,-0.142479333333334,1.10380041521078
"102","FN-1","0.1",16.917408,-6.93884625,-6.81458441666667,-0.124261833333335,1.08994990822286
"103","FN-1","0.1",16.549082,-7.30717225,-6.81458441666667,-0.492587833333335,1.40696635863947
"104","FN-1","0.1",16.878605,-6.97764925,-6.81458441666667,-0.163064833333333,1.11966320411565
"105","FN-1","1",16.18371,-6.88679425,-6.81458441666667,-0.0722098333333321,1.05132580845346
"106","FN-1","1",15.979738,-7.09076625,-6.81458441666667,-0.276181833333334,1.21098570365528
"107","FN-1","1",16.000874,-7.06963025,-6.81458441666667,-0.255045833333334,1.19337365501045
"108","FN-1","1",16.061857,-7.00864725,-6.81458441666667,-0.194062833333334,1.14398079562598
"109","FN-1","10",13.976048,-9.222156,-6.81458441666667,-2.40757158333333,5.30580473890995
"110","FN-1","10",13.9716835,-9.2265205,-6.81458441666667,-2.41193608333334,5.32188038033523
"111","FN-1","10",14.098164,-9.10004,-6.81458441666667,-2.28545558333333,4.87518032681936
"112","FN-1","10",14.077088,-9.121116,-6.81458441666667,-2.30653158333334,4.94692347848825
