"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"113","LOXL-2","0",20.504276,-3.51448166666666,-3.55657666666667,0.0420950000000007,0.971243538037485
"114","LOXL-2","0",20.43661,-3.58214766666666,-3.55657666666667,-0.0255709999999985,1.01788247708166
"115","LOXL-2","0",20.25995,-3.75880766666667,-3.55657666666667,-0.202231,1.15047608938227
"116","LOXL-2","0",20.647888,-3.37086966666667,-3.55657666666667,0.185706999999998,0.87921810505305
"117","LOXL-2","0.001",20.430395,-4.24736275,-3.55657666666667,-0.690786083333335,1.61416279009131
"118","LOXL-2","0.001",19.988968,-4.68878975,-3.55657666666667,-1.13221308333334,2.19194725545882
"119","LOXL-2","0.001",19.460331,-5.21742675,-3.55657666666667,-1.66085008333334,3.16202786938362
"120","LOXL-2","0.001",20.361889,-4.31586875,-3.55657666666667,-0.759292083333334,1.69265984890616
"121","LOXL-2","0.1",19.40763,-4.44862425,-3.55657666666667,-0.892047583333333,1.85580816066808
"122","LOXL-2","0.1",19.692663,-4.16359125,-3.55657666666667,-0.607014583333334,1.52310413576578
"123","LOXL-2","0.1",20.306877,-3.54937725,-3.55657666666667,0.00719941666666646,0.995022175274175
"124","LOXL-2","0.1",20.327013,-3.52924125,-3.55657666666667,0.0273354166666673,0.981230907900072
"125","LOXL-2","1",19.181433,-3.88907125,-3.55657666666667,-0.332494583333335,1.25918877341062
"126","LOXL-2","1",19.300661,-3.76984325,-3.55657666666667,-0.213266583333332,1.15931015116615
"127","LOXL-2","1",19.365255,-3.70524925,-3.55657666666667,-0.148672583333332,1.10854903213426
"128","LOXL-2","1",18.591782,-4.47872225,-3.55657666666667,-0.922145583333335,1.89493135035635
"129","LOXL-2","10",17.801254,-5.39695,-3.55657666666667,-1.84037333333333,3.58102684385464
"130","LOXL-2","10",18.68771,-4.510494,-3.55657666666667,-0.953917333333336,1.93712537766561
"131","LOXL-2","10",18.883617,-4.314587,-3.55657666666667,-0.758010333333334,1.69115668765672
"132","LOXL-2","10",18.5695,-4.628704,-3.55657666666667,-1.07212733333333,2.10253138096398
