"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"133","NCAD","0",26.010548,1.99179033333333,2.17468658333333,-0.18289625,1.1351604652583
"134","NCAD","0.1",25.578426,1.72217175,2.17468658333333,-0.452514833333333,1.36842354594013
"135","NCAD","0",26.675032,2.65627433333334,2.17468658333333,0.481587750000002,0.716188992314832
"136","NCAD","0",26.11415,2.09539233333333,2.17468658333333,-0.0792942500000011,1.05650108581647
"137","NCAD","0.001",26.0513,1.37354225,2.17468658333333,-0.801144333333334,1.74248270092754
"138","NCAD","0.001",26.178667,1.50090925,2.17468658333333,-0.673777333333335,1.59524424938757
"139","NCAD","0.001",26.182533,1.50477525,2.17468658333333,-0.669911333333336,1.59097518468161
"140","NCAD","0.001",26.02568,1.34792225,2.17468658333333,-0.826764333333334,1.77370284928837
"141","NCAD","0.01",26.140648,2.0663985,2.17468658333333,-0.108288083333336,1.07794837275902
"142","NCAD","0.01",26.2048,2.1305505,2.17468658333333,-0.0441360833333357,1.03106557027099
"143","NCAD","0.01",26.055704,1.9814545,2.17468658333333,-0.193232083333336,1.14332224447892
"144","NCAD","0.01",26.10725,2.0330005,2.17468658333333,-0.141686083333334,1.10319366951471
"145","NCAD","0.1",25.55251,1.69625575,2.17468658333333,-0.478430833333332,1.39322747934131
"146","NCAD","0.1",25.486944,1.63068975,2.17468658333333,-0.543996833333332,1.45800617853897
"147","NCAD","1",24.79901,1.72850575,2.17468658333333,-0.446180833333334,1.36242879637021
"148","NCAD","0.1",25.529667,1.67341275,2.17468658333333,-0.501273833333333,1.41546279929972
"149","NCAD","1",24.913729,1.84322475,2.17468658333333,-0.331461833333333,1.25828770851056
"150","NCAD","1",24.910664,1.84015975,2.17468658333333,-0.334526833333332,1.26096377749309
"151","NCAD","10",21.740831,-1.457373,2.17468658333333,-3.63205958333333,12.3982069309613
"152","NCAD","10",21.570557,-1.627647,2.17468658333333,-3.80233358333333,13.95135732526
"153","NCAD","10",21.74224,-1.455964,2.17468658333333,-3.63065058333334,12.3861042028649
"154","NCAD","10",21.730927,-1.467277,2.17468658333333,-3.64196358333333,12.4836125660828
"155","NCAD","0",25.974047,1.95528933333333,2.17468658333333,-0.219397250000001,1.16424706886432
