"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"176","SMAD2","0",21.301836,-2.71692166666666,-2.78587816666666,0.0689565000000005,0.953327289486155
"177","SMAD2","0",21.20307,-2.81568766666667,-2.78587816666666,-0.0298095000000007,1.02087731553354
"178","SMAD2","0",21.161491,-2.85726666666666,-2.78587816666666,-0.0713884999999994,1.05072745387497
"179","SMAD2","0",21.265121,-2.75363666666667,-2.78587816666666,0.0322414999999996,0.977899764171507
"180","SMAD2","0.001",21.391989,-3.28576875,-2.78587816666666,-0.499890583333338,1.41410630986173
"181","SMAD2","0.001",21.380278,-3.29747975,-2.78587816666666,-0.511601583333336,1.42563195849402
"182","SMAD2","0.001",21.391834,-3.28592375,-2.78587816666666,-0.500045583333337,1.41425824651272
"183","SMAD2","0.001",21.390432,-3.28732575,-2.78587816666666,-0.501447583333336,1.4156332798688
"184","SMAD2","0.01",21.194956,-2.8792935,-2.78587816666666,-0.0934153333333345,1.06689288135306
"185","SMAD2","0.01",21.092201,-2.9820485,-2.78587816666666,-0.196170333333336,1.14565315276015
"186","SMAD2","0.01",21.34981,-2.7244395,-2.78587816666666,0.0614386666666658,0.958308010515943
"187","SMAD2","0.01",21.23139,-2.8428595,-2.78587816666666,-0.0569813333333347,1.04028680642673
"188","SMAD2","0.1",20.823645,-3.03260925,-2.78587816666666,-0.246731083333335,1.18651561192178
"189","SMAD2","0.1",20.97649,-2.87976425,-2.78587816666666,-0.0938860833333361,1.06724106427374
"190","SMAD2","0.1",20.897379,-2.95887525,-2.78587816666666,-0.172997083333334,1.12739813290568
"191","SMAD2","0.1",20.935493,-2.92076125,-2.78587816666666,-0.134883083333333,1.09800382744844
"192","SMAD2","1",21.32666,-1.74384425,-2.78587816666666,1.04203391666667,0.485642330553599
"193","SMAD2","1",21.188444,-1.88206025,-2.78587816666666,0.903817916666666,0.534470447157494
"194","SMAD2","1",21.079395,-1.99110925,-2.78587816666666,0.794768916666667,0.576435496423182
"195","SMAD2","1",21.349379,-1.72112525,-2.78587816666666,1.06475291666666,0.478054525849945
"196","SMAD2","10",20.9089,-2.289304,-2.78587816666666,0.496574166666663,0.708787876878752
"197","SMAD2","10",21.071642,-2.126562,-2.78587816666666,0.659316166666665,0.633178350598953
"198","SMAD2","10",21.072704,-2.1255,-2.78587816666666,0.660378166666666,0.632712425401561
"199","SMAD2","10",21.062271,-2.135933,-2.78587816666666,0.649945166666663,0.637304535596324
