"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"200","SNAIL","0",25.949312,1.93055433333333,1.93978883333333,-0.0092345000000007,1.00642139697062
"201","SNAIL","0",25.97268,1.95392233333333,1.93978883333333,0.0141335000000007,0.9902512346481
"202","SNAIL","0",25.976805,1.95804733333333,1.93978883333333,0.0182584999999991,0.98742392041131
"203","SNAIL","0",25.935389,1.91663133333333,1.93978883333333,-0.0231574999999991,1.0161810741182
"204","SNAIL","0.01",25.04202,0.9677705,1.93978883333333,-0.972018333333334,1.96158293502287
"205","SNAIL","0.01",25.060453,0.986203499999998,1.93978883333333,-0.953585333333336,1.93667964824031
"206","SNAIL","0.01",25.181187,1.1069375,1.93978883333333,-0.832851333333333,1.78120224263941
"207","SNAIL","0.01",24.98616,0.911910500000001,1.93978883333333,-1.02787833333333,2.0390234019745
"208","SNAIL","0.1",25.498222,1.64196775,1.93978883333333,-0.297821083333335,1.22928640713054
"209","SNAIL","0.1",25.387909,1.53165475,1.93978883333333,-0.408134083333333,1.32696846263114
"210","SNAIL","0.1",25.538216,1.68196175,1.93978883333333,-0.257827083333335,1.19567647835053
"211","SNAIL","0.1",25.616692,1.76043775,1.93978883333333,-0.179351083333333,1.13237443464557
"212","SNAIL","1",25.005537,1.93503275,1.93978883333333,-0.00475608333333266,1.00330210573184
"213","SNAIL","1",25.1255,2.05499575,1.93978883333333,0.115206916666666,0.923249885314779
"214","SNAIL","1",25.123724,2.05321975,1.93978883333333,0.113430916666666,0.924387132909374
"215","SNAIL","1",24.97301,1.90250575,1.93978883333333,-0.0372830833333344,1.02617948089422
"216","SNAIL","10",24.451359,1.253155,1.93978883333333,-0.686633833333334,1.60952371437926
"217","SNAIL","10",24.295292,1.097088,1.93978883333333,-0.842700833333335,1.79340438871469
"218","SNAIL","10",24.420143,1.221939,1.93978883333333,-0.717849833333335,1.64472893262503
"219","SNAIL","10",24.350693,1.152489,1.93978883333333,-0.787299833333335,1.72584133105479
