"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"243","TIMP-3","0",20.324615,-3.69414266666666,-3.72488616666667,0.0307435000000007,0.978915678549373
"244","TIMP-3","0",20.181551,-3.83720666666667,-3.72488616666667,-0.112320500000002,1.08096551582525
"245","TIMP-3","0",20.344975,-3.67378266666666,-3.72488616666667,0.0511035000000009,0.965197778391596
"246","TIMP-3","0",20.324345,-3.69441266666666,-3.72488616666667,0.0304735000000003,0.979098899507216
"247","TIMP-3","0.001",20.221031,-4.45672675,-3.72488616666667,-0.731840583333336,1.6607565257533
"248","TIMP-3","0.001",20.221598,-4.45615975,-3.72488616666667,-0.731273583333336,1.66010395268218
"249","TIMP-3","0.001",20.248213,-4.42954475,-3.72488616666667,-0.704658583333337,1.62975893345406
"250","TIMP-3","0.1",19.8276,-4.02865425,-3.72488616666667,-0.303768083333334,1.23436416396226
"251","TIMP-3","0.1",19.8387,-4.01755425,-3.72488616666667,-0.292668083333335,1.22490348948892
"252","TIMP-3","0.1",19.76422,-4.09203425,-3.72488616666667,-0.367148083333332,1.289800633571
"253","TIMP-3","0.1",19.8482,-4.00805425,-3.72488616666667,-0.283168083333336,1.21686412294174
"254","TIMP-3","1",20.785547,-2.28495725,-3.72488616666667,1.43992891666667,0.368585464527978
"255","TIMP-3","1",20.80764,-2.26286425,-3.72488616666667,1.46202191666667,0.362984055670625
"256","TIMP-3","1",20.793684,-2.27682025,-3.72488616666667,1.44806591666666,0.366512442978937
"257","TIMP-3","1",20.768686,-2.30181825,-3.72488616666667,1.42306791666666,0.372918450658908
"258","TIMP-3","10",21.03539,-2.162814,-3.72488616666667,1.56207216666666,0.338664303240696
"259","TIMP-3","10",20.915754,-2.28245,-3.72488616666667,1.44243616666666,0.367945458622384
"260","TIMP-3","10",21.11119,-2.087014,-3.72488616666667,1.63787216666667,0.321330055299253
"261","TIMP-3","10",21.022913,-2.175291,-3.72488616666667,1.54959516666666,0.341605908461509
