"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"262","TWIST","0",22.170156,-1.84860166666667,-1.89470191666667,0.0461002499999994,0.968550884219669
"263","TWIST","0",22.09174,-1.92701766666666,-1.89470191666667,-0.0323157499999978,1.02265232505688
"264","TWIST","0",22.173605,-1.84515266666667,-1.89470191666667,0.0495492499999992,0.966238169446707
"265","TWIST","0",22.060722,-1.95803566666667,-1.89470191666667,-0.0633337500000009,1.04487745463327
"266","TWIST","0.001",22.2695,-2.40825775,-1.89470191666667,-0.513555833333334,1.42756440366785
"267","TWIST","0.001",21.781834,-2.89592375,-1.89470191666667,-1.00122183333333,2.00169453811986
"268","TWIST","0.001",22.140789,-2.53696875,-1.89470191666667,-0.642266833333333,1.56077960729074
"269","TWIST","0.001",22.1117,-2.56605775,-1.89470191666667,-0.671355833333336,1.59256894808457
"270","TWIST","0.01",22.180618,-1.8936315,-1.89470191666667,0.00107041666666507,0.999258318886986
"271","TWIST","0.01",22.38998,-1.6842695,-1.89470191666667,0.210432416666667,0.864278143782437
"272","TWIST","0.01",22.164324,-1.9099255,-1.89470191666667,-0.0152235833333334,1.01060805450384
"273","TWIST","0.01",22.992445,-1.0818045,-1.89470191666667,0.812897416666666,0.569237488928349
"274","TWIST","0.1",21.697311,-2.15894325,-1.89470191666667,-0.264241333333334,1.2010043141073
"275","TWIST","0.1",21.70399,-2.15226425,-1.89470191666667,-0.257562333333332,1.1954570790355
"276","TWIST","0.1",21.869682,-1.98657225,-1.89470191666667,-0.0918703333333317,1.06575094410989
"277","TWIST","1",21.530508,-1.53999625,-1.89470191666667,0.354705666666669,0.78202917356887
"278","TWIST","1",21.518051,-1.55245325,-1.89470191666667,0.342248666666667,0.788810867643267
"279","TWIST","1",21.659374,-1.41113025,-1.89470191666667,0.483571666666667,0.715204804568216
"280","TWIST","1",21.735697,-1.33480725,-1.89470191666667,0.559894666666666,0.678351689392261
"281","TWIST","10",21.741611,-1.456593,-1.89470191666667,0.438108916666665,0.738101477559922
"282","TWIST","10",21.97919,-1.219014,-1.89470191666667,0.675687916666665,0.626033638078567
"283","TWIST","10",21.95444,-1.243764,-1.89470191666667,0.650937916666668,0.636866143262644
"284","TWIST","10",21.98708,-1.211124,-1.89470191666667,0.683577916666665,0.622619248190761
