"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"285","VIM","0",15.827063,-8.19169466666667,-8.26298279166667,0.0712881250000006,0.951787805087296
"286","VIM","0",15.734518,-8.28423966666667,-8.26298279166667,-0.0212568750000006,1.01484322554596
"287","VIM","0",15.803323,-8.21543466666667,-8.26298279166667,0.0475481250000005,0.967579343374742
"288","VIM","0",15.6581955,-8.36056216666667,-8.26298279166667,-0.0975793750000005,1.06997669585519
"289","VIM","0.001",16.128592,-8.54916575,-8.26298279166667,-0.286182958333335,1.21940972621887
"290","VIM","0.001",16.020807,-8.65695075,-8.26298279166667,-0.393967958333334,1.31400244336857
"291","VIM","0.001",16.021086,-8.65667175,-8.26298279166667,-0.393688958333335,1.31374835555034
"292","VIM","0.001",15.926936,-8.75082175,-8.26298279166667,-0.487838958333336,1.40234270459146
"293","VIM","0.01",15.825454,-8.2487955,-8.26298279166667,0.0141872916666657,0.990214313282336
"294","VIM","0.01",15.5020275,-8.572222,-8.26298279166667,-0.309239208333334,1.23905412408192
"295","VIM","0.01",15.894402,-8.1798475,-8.26298279166667,0.0831352916666646,0.94400388911135
"296","VIM","0.01",15.726366,-8.3478835,-8.26298279166667,-0.0849007083333344,1.06061474338418
"297","VIM","0.1",15.498313,-8.35794125,-8.26298279166667,-0.0949584583333341,1.06803465409285
"298","VIM","0.1",15.566429,-8.28982525,-8.26298279166667,-0.0268424583333342,1.01877994021894
"299","VIM","0.1",15.512748,-8.34350625,-8.26298279166667,-0.0805234583333334,1.05740163187978
"300","VIM","0.1",15.678359,-8.17789525,-8.26298279166667,0.0850875416666668,0.942727330186415
"301","VIM","1",14.855987,-8.21451725,-8.26298279166667,0.0484655416666673,0.96696425064016
"302","VIM","1",14.795609,-8.27489525,-8.26298279166667,-0.0119124583333328,1.00829127067071
"303","VIM","1",14.961132,-8.10937225,-8.26298279166667,0.153610541666666,0.898997780057074
"304","VIM","10",14.751583,-8.446621,-8.26298279166667,-0.183638208333335,1.13574441290963
"305","VIM","10",14.861235,-8.336969,-8.26298279166667,-0.0739862083333342,1.052621091967
"306","VIM","10",14.838926,-8.359278,-8.26298279166667,-0.0962952083333342,1.06902471568841
"307","VIM","10",14.9700775,-8.2281265,-8.26298279166667,0.0348562916666655,0.976128989143825
