"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"1","a-SMA","0",21.069958,-2.94879966666667,-3.01199641666667,0.0631967499999995,0.957140917566935
"2","a-SMA","0",20.707087,-3.31167066666666,-3.01199641666667,-0.299674249999999,1.23086646131199
"3","a-SMA","0",20.949667,-3.06909066666666,-3.01199641666667,-0.0570942499999987,1.04036823064477
"4","a-SMA","0",21.300333,-2.71842466666667,-3.01199641666667,0.293571749999998,0.815879643339132
"5","a-SMA","0.001",21.225407,-3.45235075,-3.01199641666667,-0.440354333333335,1.35693755737815
"6","a-SMA","0.001",21.1767,-3.50105775,-3.01199641666667,-0.489061333333336,1.40353139313887
"7","a-SMA","0.001",21.396376,-3.28138175,-3.01199641666667,-0.269385333333336,1.20529419730448
"8","a-SMA","0.001",21.566582,-3.11117575,-3.01199641666667,-0.0991793333333355,1.0711639653042
"9","a-SMA","0.1",20.62447,-3.23178425,-3.01199641666667,-0.219787833333335,1.16456231016571
"10","a-SMA","0.1",20.745567,-3.11068725,-3.01199641666667,-0.0986908333333325,1.0708013280156
"11","a-SMA","0.1",20.839102,-3.01715225,-3.01199641666667,-0.00515583333333325,1.0035801448017
"12","a-SMA","0.1",20.75347,-3.10278425,-3.01199641666667,-0.0907878333333336,1.0649515771939
"13","a-SMA","1",20.639801,-2.43070325,-3.01199641666667,0.581293166666665,0.668364417140626
"14","a-SMA","1",20.574816,-2.49568825,-3.01199641666667,0.516308166666665,0.699158681728196
"15","a-SMA","1",20.65485,-2.41565425,-3.01199641666667,0.596342166666666,0.661428829043913
"16","a-SMA","10",19.922195,-3.276009,-3.01199641666667,-0.264012583333336,1.20081390106089
"17","a-SMA","10",19.791021,-3.407183,-3.01199641666667,-0.395186583333334,1.31511283237026
"18","a-SMA","10",20.073544,-3.12466,-3.01199641666667,-0.112663583333337,1.08122260782468
"19","a-SMA","10",20.107018,-3.091186,-3.01199641666667,-0.0791895833333349,1.05642444007175
