Color	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
255;132;197;238	A1	con	gap		27.78	27.82	0.17	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	1.37	4.46			1
255;132;197;238	A2	con	gap		28.00	27.82	0.17	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	1.29	4.30			2
255;132;197;238	A3	con	gap		27.89	27.82	0.17	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	1.22	4.16			3
255;132;197;238	A4	con	gap		27.59	27.82	0.17	Unchecked	Unknown	Run Calibrator	Reference	Unknown	A1	-	-	-	-	-	-	SYBR Green I	 	None	1.45	4.57			4
255;34;176;146	A9	patientd1	gap		30.94	31.68	1.47	Unchecked	Unknown	Unknown	Reference	Unknown	A9	-	-	-	-	-	-	SYBR Green I	 	None	1.29	4.27			9
255;34;176;146	A10	patientd1	gap		31.23	31.68	1.47	Unchecked	Unknown	Unknown	Reference	Unknown	A9	-	-	-	-	-	-	SYBR Green I	 	None	1.34	4.16			10
255;34;176;146	A11	patientd1	gap		30.69	31.68	1.47	Unchecked	Unknown	Unknown	Reference	Unknown	A9	-	-	-	-	-	-	SYBR Green I	 	None	1.31	4.21			11
255;34;176;146	A12	patientd1	gap		33.87	31.68	1.47	Unchecked	Unknown	Unknown	Reference	Unknown	A9	-	-	-	-	-	-	SYBR Green I	 	None	0.88	2.57			12
255;132;197;238	B1	con	col3		28.71	29.01	0.39	Unchecked	Unknown	Run Calibrator	Target	Unknown	B1	5.377E-1	6.517E-2	1.227E+0	3.958E-1	-	-	SYBR Green I	 	None	1.07	4.38			13
255;132;197;238	B2	con	col3		29.34	29.01	0.39	Unchecked	Unknown	Run Calibrator	Target	Unknown	B1	3.475E-1	4.211E-2	7.928E-1	2.558E-1	-	-	SYBR Green I	 	None	1.15	4.08			14
255;132;197;238	B3	con	col3		29.35	29.01	0.39	Unchecked	Unknown	Run Calibrator	Target	Unknown	B1	3.451E-1	4.182E-2	7.873E-1	2.540E-1	-	-	SYBR Green I	 	None	1.22	4.14			15
255;132;197;238	B4	con	col3		28.62	29.01	0.39	Unchecked	Unknown	Run Calibrator	Target	Unknown	B1	5.724E-1	6.936E-2	1.306E+0	4.213E-1	-	-	SYBR Green I	 	None	1.42	4.57			16
255;34;176;146	B9	patientd1	col3		28.87	28.52	0.25	Unchecked	Unknown	Unknown	Target	Unknown	B9	7.025E+0	7.182E+0	1.603E+1	1.707E+1	-	-	SYBR Green I	 	None	1.02	4.20			21
255;34;176;146	B10	patientd1	col3		28.39	28.52	0.25	Unchecked	Unknown	Unknown	Target	Unknown	B9	9.798E+0	1.002E+1	2.235E+1	2.381E+1	-	-	SYBR Green I	 	None	1.09	3.91			22
255;34;176;146	B11	patientd1	col3		28.53	28.52	0.25	Unchecked	Unknown	Unknown	Target	Unknown	B9	8.892E+0	9.091E+0	2.029E+1	2.161E+1	-	-	SYBR Green I	 	None	1.06	3.85			23
255;34;176;146	B12	patientd1	col3		28.30	28.52	0.25	Unchecked	Unknown	Unknown	Target	Unknown	B9	1.043E+1	1.066E+1	2.379E+1	2.534E+1	-	-	SYBR Green I	 	None	1.18	4.09			24
255;132;197;238	C1	con	col1		22.91	22.61	0.30	Unchecked	Unknown	Run Calibrator	Target	Unknown	C1	2.996E+1	3.631E+0	8.094E-1	2.165E-1	-	-	SYBR Green I	 	None	1.56	4.59			25
255;132;197;238	C2	con	col1		22.79	22.61	0.30	Unchecked	Unknown	Run Calibrator	Target	Unknown	C1	3.256E+1	3.946E+0	8.796E-1	2.353E-1	-	-	SYBR Green I	 	None	1.42	4.65			26
255;132;197;238	C3	con	col1		22.27	22.61	0.30	Unchecked	Unknown	Run Calibrator	Target	Unknown	C1	4.669E+1	5.658E+0	1.261E+0	3.375E-1	-	-	SYBR Green I	 	None	1.37	4.67			27
255;132;197;238	C4	con	col1		22.45	22.61	0.30	Unchecked	Unknown	Run Calibrator	Target	Unknown	C1	4.121E+1	4.994E+0	1.113E+0	2.979E-1	-	-	SYBR Green I	 	None	1.46	4.83			28
255;34;176;146	C9	patientd1	col1		22.91	22.96	0.09	Unchecked	Unknown	Unknown	Target	Unknown	C9	4.373E+2	4.471E+2	1.181E+1	1.240E+1	-	-	SYBR Green I	 	None	1.50	4.61			33
