Color	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
255;66;41;24	B1	0	IL-6		19.30	19.34	0.04	Unchecked	Unknown	Unknown	Target	Unknown	B1	3.812E-2	6.102E-4	-	-	-	-	SYBR Green I	 	Replicate group contains positives and negatives.	0.94	4.08			13
255;66;41;24	B2	0	IL-6		19.38	19.34	0.04	Unchecked	Unknown	Unknown	Target	Unknown	B1	3.606E-2	5.773E-4	-	-	-	-	SYBR Green I	 	Replicate group contains positives and negatives.	0.89	4.01			14
255;66;41;24	B3	0	IL-6		19.35	19.34	0.04	Unchecked	Unknown	Unknown	Target	Unknown	B1	3.682E-2	5.894E-4	-	-	-	-	SYBR Green I	 	Replicate group contains positives and negatives.	0.82	3.80			15
255;66;41;24	B4	0	IL-6		-	-	-	Unchecked	Unknown	Unknown	Target	Unknown	B1	0.000E+0	-	-	-	-	-	SYBR Green I	 	Replicate group contains positives and negatives.	0.00	0.05			16
255;250;215;15	B5	0.1	IL-6		18.30	18.40	0.07	Unchecked	Unknown	Unknown	Target	Unknown	B5	5.422E-2	3.424E-3	-	-	-	-	SYBR Green I	 	None	0.74	3.55			17
255;250;215;15	B6	0.1	IL-6		18.45	18.40	0.07	Unchecked	Unknown	Unknown	Target	Unknown	B5	4.887E-2	3.086E-3	-	-	-	-	SYBR Green I	 	None	0.74	3.63			18
255;250;215;15	B7	0.1	IL-6		18.44	18.40	0.07	Unchecked	Unknown	Unknown	Target	Unknown	B5	4.921E-2	3.107E-3	-	-	-	-	SYBR Green I	 	None	0.68	3.41			19
255;250;215;15	B8	0.1	IL-6		18.42	18.40	0.07	Unchecked	Unknown	Unknown	Target	Unknown	B5	4.989E-2	3.151E-3	-	-	-	-	SYBR Green I	 	None	0.77	3.65			20
255;205;18;55	B9	1	IL-6		18.32	18.33	0.03	Unchecked	Unknown	Unknown	Target	Unknown	B9	5.623E-2	1.571E-3	-	-	-	-	SYBR Green I	 	None	0.82	3.82			21
255;205;18;55	B10	1	IL-6		18.29	18.33	0.03	Unchecked	Unknown	Unknown	Target	Unknown	B9	5.741E-2	1.604E-3	-	-	-	-	SYBR Green I	 	None	0.73	3.49			22
255;205;18;55	B11	1	IL-6		18.35	18.33	0.03	Unchecked	Unknown	Unknown	Target	Unknown	B9	5.507E-2	1.539E-3	-	-	-	-	SYBR Green I	 	None	0.75	3.62			23
255;205;18;55	B12	1	IL-6		18.35	18.33	0.03	Unchecked	Unknown	Unknown	Target	Unknown	B9	5.507E-2	1.539E-3	-	-	-	-	SYBR Green I	 	None	0.82	3.84			24
255;47;73;113	D1	0	GAP		14.56	14.59	0.02	Unchecked	Unknown	Unknown	Reference	Unknown	D1	-	-	-	-	-	-	SYBR Green I	 	Replicate group contains positives and negatives.	0.72	3.24			37
255;47;73;113	D2	0	GAP		14.60	14.59	0.02	Unchecked	Unknown	Unknown	Reference	Unknown	D1	-	-	-	-	-	-	SYBR Green I	 	Replicate group contains positives and negatives.	0.73	3.28			38
255;47;73;113	D3	0	GAP		14.60	14.59	0.02	Unchecked	Unknown	Unknown	Reference	Unknown	D1	-	-	-	-	-	-	SYBR Green I	 	Replicate group contains positives and negatives.	0.71	3.24			39
255;47;73;113	D4	0	GAP		-	-	-	Unchecked	Unknown	Unknown	Reference	Unknown	D1	-	-	-	-	-	-	SYBR Green I	 	Replicate group contains positives and negatives.	0.00	0.01			40
255;103;103;103	D5	0.1	GAP		14.15	14.10	0.09	Unchecked	Unknown	Unknown	Reference	Unknown	D5	-	-	-	-	-	-	SYBR Green I	 	None	0.65	3.06			41
255;103;103;103	D6	0.1	GAP		14.15	14.10	0.09	Unchecked	Unknown	Unknown	Reference	Unknown	D5	-	-	-	-	-	-	SYBR Green I	 	None	0.66	3.11			42
255;103;103;103	D7	0.1	GAP		14.12	14.10	0.09	Unchecked	Unknown	Unknown	Reference	Unknown	D5	-	-	-	-	-	-	SYBR Green I	 	None	0.64	3.00			43
255;103;103;103	D8	0.1	GAP		13.96	14.10	0.09	Unchecked	Unknown	Unknown	Reference	Unknown	D5	-	-	-	-	-	-	SYBR Green I	 	None	0.61	2.83			44
255;180;73;149	D9	1	GAP		14.20	14.17	0.04	Unchecked	Unknown	Unknown	Reference	Unknown	D9	-	-	-	-	-	-	SYBR Green I	 	None	0.63	2.92			45
255;180;73;149	D10	1	GAP		14.19	14.17	0.04	Unchecked	Unknown	Unknown	Reference	Unknown	D9	-	-	-	-	-	-	SYBR Green I	 	None	0.61	2.87			46
